;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 111Q Formación del Personal de la Administración de Justicia;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
13.101;;CENTRO DE ESTUDIOS JURÍDICOS;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;179,76;
;150;Productividad;;178,11;
;151;Gratificaciones;;1,65;
;16000; Seguridad Social;650,26;;
;16200; Formación y perfeccionamiento del personal;25,41;;
;16201; Economatos y comedores;16,38;;
;16204; Acción social;10,98;;
;;TOTAL GASTOS DE PERSONAL;;5.384,10;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22502; Locales;12,00;;
;22601; Atenciones protocolarias y representativas;1,00;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;3.022,68;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;5,00;
;352;Intereses de demora;;5,00;
;;TOTAL GASTOS FINANCIEROS;;5,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;952,12;
;483;Becas para la preparación de oposiciones al Cuerpo de Letrados de la Administración de Justicia;;793,44;
;485;Becas para la preparación de oposiciones al Cuerpo de Abogados del Estado;;158,68;
;49;Al exterior;;10,00;
;493;Otras aportaciones a proyectos europeos;;10,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;962,12;
 ; ;;;;
;6;INVERSIONES REALES;;777,00;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;4,07;
;831;Préstamos a largo plazo;;4,07;
;;TOTAL ACTIVOS FINANCIEROS;;4,07;
 ; ;;;;
;;TOTAL CENTRO DE ESTUDIOS JURÍDICOS;;10.154,97;
 ; ;;;;
 ; ;;;;
;;TOTAL Formación del Personal de la Administración de Justicia;;10.154,97;
;;



