;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 337D Administración de los Reales Patronatos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
13.105;;CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL;;;
;1;GASTOS DE PERSONAL;;;
;16000; Seguridad Social;300,00;;
;16204; Acción social;10,00;;
;;TOTAL GASTOS DE PERSONAL;;997,20;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;2.330,29;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;5,00;
;359;Otros gastos financieros;;5,00;
;;TOTAL GASTOS FINANCIEROS;;5,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;990,00;
;485;Ayudas a las comunidades de los Reales Patronatos;;840,00;
;486;Subvención a Entidades o programas de apoyo a enfermos y familiares afectados por patologías degenerativas cerebrales;;150,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;990,00;
 ; ;;;;
;6;INVERSIONES REALES;;1.171,52;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;7,50;
;830;Préstamos a corto plazo;;2,50;
;831;Préstamos a largo plazo;;5,00;
;;TOTAL ACTIVOS FINANCIEROS;;7,50;
 ; ;;;;
;9;PASIVOS FINANCIEROS;;;
;94;Devolución de depósitos y fianzas;;10,00;
;941;Devolución de fianzas;;10,00;
;;TOTAL PASIVOS FINANCIEROS;;10,00;
 ; ;;;;
;;TOTAL CONSEJO DE ADMINISTRACIÓN DEL PATRIMONIO NACIONAL;;5.511,51;
 ; ;;;;
 ; ;;;;
;;TOTAL Administración de los Reales Patronatos;;5.511,51;
;;



