;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 467G Investigación y desarrollo de la Sociedad de la Información;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
13.08;;SECRETARIADO DEL GOBIERNO Y RELACIONES CON LAS CORTES;;;
;6;INVERSIONES REALES;;1.582,63;
 ; ;;;;
;;TOTAL SECRETARIADO DEL GOBIERNO Y RELACIONES CON LAS CORTES;;1.582,63;
 ; ;;;;
 ; ;;;;
;;TOTAL Investigación y desarrollo de la Sociedad de la Información;;1.582,63;
;;



