;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 911Q Apoyo a la gestión administrativa de la Jefatura del Estado;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
13.08;;SECRETARIADO DEL GOBIERNO Y RELACIONES CON LAS CORTES;;;
;1;GASTOS DE PERSONAL;;;
;11;Personal eventual;;587,65;
;12;Funcionarios;;5.862,55;
;15;Incentivos al rendimiento;;873,80;
;150;Productividad;;815,61;
;151;Gratificaciones;;58,19;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;268,79;
;16000; Seguridad Social;267,81;;
;16204; Acción social;0,98;;
;;TOTAL GASTOS DE PERSONAL;;7.592,79;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;23;Indemnizaciones por razón del servicio;;183,04;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;183,04;
 ; ;;;;
;;TOTAL SECRETARIADO DEL GOBIERNO Y RELACIONES CON LAS CORTES;;7.775,83;
 ; ;;;;
 ; ;;;;
;;TOTAL Apoyo a la gestión administrativa de la Jefatura del Estado;;7.775,83;
;;



