;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 912O Relaciones con las Cortes Generales, Secretariado del Gobierno y apoyo a la Alta Dirección;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
13.08;;SECRETARIADO DEL GOBIERNO Y RELACIONES CON LAS CORTES;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;604,19;
;11;Personal eventual;;749,14;
;12;Funcionarios;;21.384,10;
;13;Laborales;;2.571,18;
;15;Incentivos al rendimiento;;3.770,59;
;150;Productividad;;3.701,80;
;151;Gratificaciones;;68,79;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;3.155,68;
;16000; Seguridad Social;2.466,32;;
;16200; Formación y perfeccionamiento del personal;80,79;;
;16201; Economatos y comedores;275,00;;
;16204; Acción social;161,49;;
;;TOTAL GASTOS DE PERSONAL;;32.234,88;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;42,80;
;21;Reparaciones, mantenimiento y conservación;;949,43;
;22;Material, suministros y otros;;6.250,45;
;22502; Locales;180,00;;
;22601; Atenciones protocolarias y representativas;95,56;;
;22611; Gastos protocolarios y representativos derivados de actos institucionales;30,00;;
;23;Indemnizaciones por razón del servicio;;555,00;
;24;Gastos de publicaciones;;140,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;7.937,68;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;2.437,00;
;441;A la Fundación Pluralismo y Convivencia;;1.980,00;
;447;Al Consorcio para la conmemoración del Bicentenario de la Constitución de 1812;;457,00;
;48;A familias e instituciones sin fines de lucro;;1.453,31;
;482;Indemnizaciones;;950,71;
;484;A la Fundación Príncesa de Asturias;;300,00;
;485;Compensación estatal de gastos por Iniciativa Legislativa Popular;;200,00;
;486;Premio Mujer y Parlamento "Clara Campoamor";;2,60;
;;TOTAL TRANSFERENCIAS CORRIENTES;;3.890,31;
 ; ;;;;
;6;INVERSIONES REALES;;4.207,00;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;72,12;
;830;Préstamos a corto plazo;;14,42;
;831;Préstamos a largo plazo;;57,70;
;;TOTAL ACTIVOS FINANCIEROS;;72,12;
 ; ;;;;
;;TOTAL SECRETARIADO DEL GOBIERNO Y RELACIONES CON LAS CORTES;;48.341,99;
 ; ;;;;
 ; ;;;;
;;TOTAL Relaciones con las Cortes Generales, Secretariado del Gobierno y apoyo a la Alta Dirección;;48.341,99;
;;



