;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 13 MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;
;Programa: 921R Publicidad de las normas legales;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;13.303;;Total;
1;GASTOS DE PERSONAL;20.696,39;;20.696,39;
10; Altos cargos;104,47;;104,47;
12; Funcionarios;4.625,90;;4.625,90;
13; Laborales;9.932,72;;9.932,72;
15; Incentivos al rendimiento;853,97;;853,97;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;5.179,33;;5.179,33;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.096,43;;9.096,43;
20; Arrendamientos y cánones;10,00;;10,00;
21; Reparaciones, mantenimiento y conservación;1.465,15;;1.465,15;
22; Material, suministros y otros;4.869,12;;4.869,12;
23; Indemnizaciones por razón del servicio;65,00;;65,00;
27; Compras, suministros y otros gastos;2.687,16;;2.687,16;
3;GASTOS FINANCIEROS;8,00;;8,00;
35; Intereses de demora y otros gastos financieros;8,00;;8,00;
4;TRANSFERENCIAS CORRIENTES;368,00;;368,00;
45; A Comunidades Autónomas;273,00;;273,00;
48; A familias e instituciones sin fines de lucro;95,00;;95,00;
6;INVERSIONES REALES;1.815,92;;1.815,92;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;284,54;;284,54;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;731,38;;731,38;
64; Gastos de inversiones de carácter inmaterial;800,00;;800,00;
8;ACTIVOS FINANCIEROS;140,00;;140,00;
83; Concesión de préstamos fuera del Sector Público;140,00;;140,00;
;TOTAL;32.124,74;;32.124,74;
;;



