Código;Programa;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 9;Total (miles Euros);Total (euros)
111N;Dirección y Servicios Generales de Justicia;107.279,54;14.593,80;15;241,83;12.747,54;–;63,63;–;134.941,34;134.941.340
111Q;Formación del Personal de la Administración de Justicia;5.384,10;3.022,68;5;962,12;777;–;4,07;–;10.154,97;10.154.970
111R;Formación de la Carrera Fiscal;3.856,58;1.942,81;–;4.312,79;–;–;–;–;10.112,18;10.112.180
112A;Tribunales de Justicia y Ministerio Fiscal;1.623.964,21;123.246,44;625,77;56.338,53;158.477,49;–;536;–;1.963.188,44;1.963.188.440
113M;Registros vinculados con la Fe Pública;15.837,12;3.993,59;15;–;16.823,30;–;–;–;36.669,01;36.669.010
135M;Protección de datos de carácter personal;11.600,40;5.468,24;320,95;21,6;998,35;–;11,2;–;18.420,74;18.420.740
222M;Prestaciones del Mutualismo Administrativo;6.272,16;812,79;0,57;18.971,40;614,67;–;10,82;–;26.682,41;26.682.410
312E;Asistencia sanitaria del Mutualismo Administrativo;–;78.406,83;–;23.083,59;–;–;–;–;101.490,42;101.490.420
337A;Patrimonio Histórico-Nacional;59.914,58;42.083,82;20;223,54;17.899,78;500;440;50;121.131,72;121.131.720
337D;Reales Patronatos;997,2;2.330,29;5;990;1.171,52;–;7,5;10;5.511,51;5.511.510
42KD;Transición Energética AGE;–;–;–;–;22.050,98;–;–;–;22.050,98;22.050.980
462M;Estudios sociológicos y constitucionales;7.389,51;8.007,09;–;424,1;1.335,00;–;22,05;–;17.177,75;17.177.750
467G;I+D Sociedad de la Información;–;–;–;–;1.582,63;–;–;–;1.582,63;1.582.630
911Q;Gestión administrativa Jefatura del Estado;7.592,79;183,04;–;–;–;–;–;–;7.775,83;7.775.830
912M;Presidencia del Gobierno;37.525,16;14.086,28;–;298,32;3.684,64;–;–;–;55.594,40;55.594.400
912O;Relaciones con las Cortes y Alta Dirección;32.234,88;7.937,68;–;3.890,31;4.207,00;–;72,12;–;48.341,99;48.341.990
921Q;Cobertura informativa;16.890,08;59.753,52;–;–;1.720,00;–;–;–;78.363,60;78.363.600
921R;Publicidad de normas legales;20.696,39;9.096,43;8;368;1.815,92;–;140;–;32.124,74;32.124.740
921S;Defensa de los intereses del Estado;38.600,57;3.948,25;–;–;2.088,41;–;20,28;–;44.657,51;44.657.510
TOTAL CONSOLIDADO;–;1.996.035,27;378.913,58;1.015,29;110.126,13;247.994,23;500;1.327,67;60;2.735.972,17;2.735.972.170
000X;Transferencias internas;–;–;99.246,65;–;20.234,25;–;–;–;119.480,90;119.480.900
TOTAL GENERAL;–;1.996.035,27;378.913,58;100.261,94;209.372,78;247.994,23;20.734,25;1.327,67;60;2.855.453,07;2.855.453.070
