Código;Programa;Estado ;OO.AA.;Resto Entidades ;Total (miles Euros);Total (euros)
111N;Dirección y Servicios Generales de Justicia;134.941.340;–;–;134.941,34;134.941.340
111Q;Formación del Personal de la Administración de Justicia;–;10.154.970;–;10.154,97;10.154.970
111R;Formación de la Carrera Fiscal;–;10.112.180;–;10.112,18;10.112.180
112A;Tribunales de Justicia y Ministerio Fiscal;1.963.188.440;–;–;1.963.188,44;1.963.188.440
113M;Registros vinculados con la Fe Pública;36.669.010;–;–;36.669,01;36.669.010
135M;Protección de datos de carácter personal;–;–;18.420.740;18.420,74;18.420.740
222M;Prestaciones económicas del Mutualismo Administrativo;–;26.682.410;–;26.682,41;26.682.410
312E;Asistencia sanitaria del Mutualismo Administrativo;–;101.490.420;–;101.490,42;101.490.420
337A;Administración del Patrimonio Histórico-Nacional;–;121.131.720;–;121.131,72;121.131.720
337D;Administración de los Reales Patronatos;–;5.511.510;–;5.511,51;5.511.510
42KD;Plan de Transición Energética AGE;–;22.050.980;–;22.050,98;22.050.980
462M;Investigación y estudios sociológicos y constitucionales;–;17.177.750;–;17.177,75;17.177.750
467G;I+D Sociedad de la Información;1.582.630;–;–;1.582,63;1.582.630
911Q;Gestión administrativa de la Jefatura del Estado;7.775.830;–;–;7.775,83;7.775.830
912M;Presidencia del Gobierno;55.594.400;–;–;55.594,40;55.594.400
912O;Relaciones con las Cortes y Alta Dirección;48.341.990;–;–;48.341,99;48.341.990
921Q;Cobertura informativa;78.363.600;–;–;78.363,60;78.363.600
921R;Publicidad de las normas legales;–;–;32.124.740;32.124,74;32.124.740
921S;Asesoramiento y defensa del Estado;44.657.510;–;–;44.657,51;44.657.510
–;TOTAL CONSOLIDADO;2.371.114.750;314.311.940;50.545.480;2.735.972,17;2.735.972.170
000X;Transferencias internas;118.161.200;–;1.319.700;119.480,90;119.480.900
–;TOTAL GENERAL;2.489.275.950;314.311.940;51.865.180;2.855.453,07;2.855.453.070
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
