Económica;Explicación;14.01;14.02;14.03;14.12;14.17;14.22;Total (miles Euros);Total (euros)
1;GASTOS DE PERSONAL;1.818.795,40;;;;;;1.818.795,40;1.818.795.400,00
10;Altos cargos;1.141,90;;;;;;1.141,90;1.141.900,00
11;Personal eventual;1.101,77;;;;;;1.101,77;1.101.770,00
12;Funcionarios;1.495.170,54;;;;;;1.495.170,54;1.495.170.540,00
13;Laborales;71.477,70;;;;;;71.477,70;71.477.700,00
15;Incentivos al rendimiento;180.168,06;;;;;;180.168,06;180.168.060,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;69.735,43;;;;;;69.735,43;69.735.430,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;47.235,59;24.059,07;239.759,46;118.763,09;45.910,05;14.347,75;490.075,01;490.075.010,00
20;Arrendamientos y cánones;560,2;343,65;4.672,40;160,6;132,7;40;5.909,55;5.909.550,00
21;Reparaciones, mantenimiento y conservación;1.474,20;379,33;797,15;2.065,90;121;499;5.336,58;5.336.580,00
22;Material, suministros y otros;34.828,87;17.247,33;234.039,91;88.151,88;38.757,55;13.808,75;426.834,29;426.834.290,00
23;Indemnizaciones por razón del servicio;10.022,32;6.088,76;250;28.384,71;6.898,80;;51.644,59;51.644.590,00
24;Gastos de publicaciones;350;;;;;;350;350.000,00
4;TRANSFERENCIAS CORRIENTES;1.404,16;;123.281,70;60;72;46,5;124.864,36;124.864.360,00
44;A entidades del Sector Público Estatal;42;;1,5;;;;43,5;43.500,00
48;A familias e instituciones sin fines de lucro;1.338,00;;6.850,00;60;30;46,5;8.324,50;8.324.500,00
49;Al exterior;24,16;;116.430,20;;42;;116.496,36;116.496.360,00
6;INVERSIONES REALES;1.620,69;2.458,18;81.022,72;7.452,28;3.860,00;3.926,82;100.340,69;100.340.690,00
63;Reposición operativa de servicios;587,99;;;;;;587,99;587.990,00
65;Infraestructura y otros bienes militares;524;;;;;;524;524.000,00
66;Inversiones militares operativas;508,7;2.458,18;81.022,72;7.452,28;3.860,00;3.926,82;99.228,70;99.228.700,00
8;ACTIVOS FINANCIEROS;2.833,58;;;;;;2.833,58;2.833.580,00
83;Préstamos fuera del Sector Público;2.833,58;;;;;;2.833,58;2.833.580,00
;TOTAL PROGRAMA 121M;1.871.889,42;26.517,25;444.063,88;126.275,37;49.842,05;18.321,07;2.536.909,04;2.536.909.040,00
