Económica;Explicación;14.01 ;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;152.371,96;152.371,96;152.371.960,00
12;Funcionarios;88.918,84;88.918,84;88.918.840,00
13;Laborales;17.920,26;17.920,26;17.920.260,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;45.532,86;45.532,86;45.532.860,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;24.609,48;24.609,48;24.609.480,00
20;Arrendamientos y cánones;8,18;8,18;8.180,00
21;Reparaciones, mantenimiento y conservación;3.170,00;3.170,00;3.170.000,00
22;Material, suministros y otros;21.431,30;21.431,30;21.431.300,00
6;INVERSIONES REALES;1.255,31;1.255,31;1.255.310,00
66;Inversiones militares asociadas al funcionamiento operativo de los servicios;1.255,31;1.255,31;1.255.310,00
—;TOTAL GENERAL;178.236,75;178.236,75;178.236.750,00
