Orgánica;Económica;Explicación;Total (miles Euros);Total (euros)
14.301;;CENTRO NACIONAL DE INTELIGENCIA;;
;1;GASTOS DE PERSONAL;216.651,66;216.651.660 €
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;56.929,09;56.929.090 €
;22608;Gastos reservados;19.800,00;19.800.000 €
;6;INVERSIONES REALES;60.177,29;60.177.290 €
;7;TRANSFERENCIAS DE CAPITAL;50;50.000 €
;79;Al exterior;50;50.000 €
;790;Transferencias al exterior;50;50.000 €
;8;ACTIVOS FINANCIEROS;300;300.000 €
;83;Concesión de préstamos fuera del Sector Público;300;300.000 €
;830;Préstamos a corto plazo;300;300.000 €
;;TOTAL CENTRO NACIONAL DE INTELIGENCIA;334.108,04;334.108.040 €
;;TOTAL Programa 912Q;334.108,04;334.108.040 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
