Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
14.03;4;TRANSFERENCIAS CORRIENTES;312.179,35;312.179.350,00
14.03;41;A Organismos Autónomos;39.427,75;39.427.750,00
14.03;41003;Al INTA;37.427,75;37.427.750,00
14.03;41005;INTA – Proyecto Galileo-GSMC;2.000,00;2.000.000,00
14.03;43;A otras entidades del Sector Público Administrativo Estatal;272.751,60;272.751.600,00
14.03;435–437;AESA, AEMET, CNI;272.751,60;272.751.600,00
14.03;7;TRANSFERENCIAS DE CAPITAL;78.565,22;78.565.220,00
14.03;71;A Organismos Autónomos;24.346,68;24.346.680,00
14.03;71003;INTA;19.530,27;19.530.270,00
14.03;71004;INTA – Proyecto Galileo;4.816,41;4.816.410,00
14.03;73;A otras entidades del Sector Público Administrativo Estatal;54.218,54;54.218.540,00
14.03;737;Al Centro Nacional de Inteligencia;54.218,54;54.218.540,00
14.03;—;TOTAL SECRETARÍA DE ESTADO DE DEFENSA;390.744,57;390.744.570,00
14.50;737;Al Centro Nacional de Inteligencia;2.947,56;2.947.560,00
14.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;2.947,56;2.947.560,00
14.101;4;TRANSFERENCIAS CORRIENTES;1,00;1.000,00
14.101;404;Transferencias del INTA al Ejército del Aire;1;1.000,00
14.101;9;PASIVOS FINANCIEROS;250;250.000,00
14.101;910–911;Amortización de préstamos;250;250.000,00
14.101;—;TOTAL INTA;251;251.000,00
14.107;4;TRANSFERENCIAS CORRIENTES;388,25;388.250,00
14.107;402;Al Estado – gestión centralizada;388,25;388.250,00
14.107;7;TRANSFERENCIAS DE CAPITAL;100;100.000,00
14.107;700;Para Modernización de las FAS;100;100.000,00
14.107;—;TOTAL INVIED;488,25;488.250,00
14.113;4;TRANSFERENCIAS CORRIENTES;974,91;974.910,00
14.113;402;Al Estado – gestión centralizada;974,91;974.910,00
14.113;—;TOTAL ISFAS;974,91;974.910,00
14.113;;INSTITUTO SOCIAL DE LAS FUERZAS ARMADAS;;
;;TOTAL PROGRAMA 000X;395.406,29;395.406.290,00
;;;;
;;;;
;;;;
