Económica;Explicación;14.03 (miles €);14.50;14.101;14.107;14.113;Total (miles Euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;312.179,35;;1;388,25;974,91;313.543,51;313.543.510 €
40;A la Administración del Estado;;;1;388,25;974,91;1.364,16;1.364.160 €
41;A Organismos Autónomos;39.427,75;;;;;39.427,75;39.427.750 €
43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;272.751,60;;;;;272.751,60;272.751.600 €
7;TRANSFERENCIAS DE CAPITAL;78.565,22;2.947,56;;100;;81.612,78;81.612.780 €
70;A la Administración del Estado;;;;100;;100;100.000 €
71;A Organismos Autónomos;24.346,68;;;;;24.346,68;24.346.680 €
73;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;54.218,54;2.947,56;;;;57.166,10;57.166.100 €
9;PASIVOS FINANCIEROS;;;250;;;250;250.000 €
91;Amortización de préstamos en euros;;;250;;;250;250.000 €
;TOTAL GENERAL;390.744,57;2.947,56;251;488,25;974,91;395.406,29;395.406.290 €
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
