;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 122A Modernización de las Fuerzas Armadas;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
14.02;;CUARTEL GENERAL DEL EMAD;;;
;6;INVERSIONES REALES;;2.583,87;
 ; ;;;;
;;TOTAL CUARTEL GENERAL DEL EMAD;;2.583,87;
 ; ;;;;
 ; ;;;;
14.03;;SECRETARÍA DE ESTADO DE DEFENSA;;;
;6;INVERSIONES REALES;;246.322,66;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE DEFENSA;;246.322,66;
 ; ;;;;
 ; ;;;;
14.12;;EJÉRCITO DE TIERRA;;;
;6;INVERSIONES REALES;;22.463,58;
 ; ;;;;
;;TOTAL EJÉRCITO DE TIERRA;;22.463,58;
 ; ;;;;
 ; ;;;;
14.17;;ARMADA;;;
;6;INVERSIONES REALES;;47.802,47;
 ; ;;;;
;;TOTAL ARMADA;;47.802,47;
 ; ;;;;
 ; ;;;;
14.22;;EJÉRCITO DEL AIRE Y DEL ESPACIO;;;
;6;INVERSIONES REALES;;21.708,46;
 ; ;;;;
;;TOTAL EJÉRCITO DEL AIRE Y DEL ESPACIO;;21.708,46;
 ; ;;;;
 ; ;;;;
14.107;;INSTITUTO DE VIVIENDA, INFRAESTRUCTURA Y EQUIPAMIENTO DE LA DEFENSA;;;
;6;INVERSIONES REALES;;118.322,66;
 ; ;;;;
;;TOTAL INSTITUTO DE VIVIENDA, INFRAESTRUCTURA Y EQUIPAMIENTO DE LA DEFENSA;;118.322,66;
 ; ;;;;
 ; ;;;;
;;TOTAL Modernización de las Fuerzas Armadas;;459.203,70;
;;



