;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 122B Programas especiales de modernización;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
14.03;;SECRETARÍA DE ESTADO DE DEFENSA;;;
;6;INVERSIONES REALES;;4.901.716,30;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE DEFENSA;;4.901.716,30;
 ; ;;;;
 ; ;;;;
;;TOTAL Programas especiales de modernización;;4.901.716,30;
;;



