;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
14.03;;SECRETARÍA DE ESTADO DE DEFENSA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;41;A Organismos Autónomos;;39.427,75;
;410;A organismos autónomos del Departamento;;39.427,75;
;41003; Al Instituto Nacional de Técnica Aeroespacial Esteban Terradas;37.427,75;;
;41005; Al Instituto Nacional de Técnica Aeroespacial Esteban Terradas. Proyecto Galileo-GSMC;2.000,00;;
;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;272.751,60;
;435;A AESA para compensar los costes de los vuelos exonerados;;0,25;
;436;A AEMET para compensar los costes de los vuelos exonerados;;0,25;
;437;Al Centro Nacional de Inteligencia;;272.751,10;
;;TOTAL TRANSFERENCIAS CORRIENTES;;312.179,35;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;71;A Organismos Autónomos;;24.346,68;
;710;A organismos autónomos del Departamento;;24.346,68;
;71003; Al Instituto Nacional de Técnica Aeroespacial "Esteban Terradas";19.530,27;;
;71004; Al Instituto Nacional de Técnica Aeroespacial "Esteban Terradas" para financiar el proyecto Galileo;4.816,41;;
;73;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;54.218,54;
;737;Al Centro Nacional de Inteligencia;;54.218,54;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;78.565,22;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE DEFENSA;;390.744,57;
 ; ;;;;
 ; ;;;;
14.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;737;Al Centro Nacional de Inteligencia;;2.947,56;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;2.947,56;
 ; ;;;;
 ; ;;;;
14.101;;INSTITUTO NACIONAL DE TÉCNICA AEROESPACIAL ESTEBAN TERRADAS;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;40;A la Administración del Estado;;1,00;
;404;Transferencias del INTA al EA;;1,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1,00;
 ; ;;;;
;9;PASIVOS FINANCIEROS;;;
;91;Amortización de préstamos en euros;;250,00;
;910;Amortización de préstamos a corto plazo de entes del Sector Público;;109,00;
;911;Amortización de préstamos a largo plazo de entes del Sector Público;;141,00;
;;TOTAL PASIVOS FINANCIEROS;;250,00;
 ; ;;;;
;;TOTAL INSTITUTO NACIONAL DE TÉCNICA AEROESPACIAL ESTEBAN TERRADAS;;251,00;
 ; ;;;;
 ; ;;;;
14.107;;INSTITUTO DE VIVIENDA, INFRAESTRUCTURA Y EQUIPAMIENTO DE LA DEFENSA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;40;A la Administración del Estado;;388,25;
;402;Al Estado, para compensar gastos de gestión centralizada;;388,25;
;;TOTAL TRANSFERENCIAS CORRIENTES;;388,25;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;70;A la Administración del Estado;;100,00;
;700;Para Modernización de las FAS;;100,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;100,00;
 ; ;;;;
;;TOTAL INSTITUTO DE VIVIENDA, INFRAESTRUCTURA Y EQUIPAMIENTO DE LA DEFENSA;;488,25;
 ; ;;;;
 ; ;;;;
14.113;;INSTITUTO SOCIAL DE LAS FUERZAS ARMADAS;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;40;A la Administración del Estado;;974,91;
;402;Al Estado, para compensar gastos de gestión centralizada;;974,91;
;;TOTAL TRANSFERENCIAS CORRIENTES;;974,91;
 ; ;;;;
;;TOTAL INSTITUTO SOCIAL DE LAS FUERZAS ARMADAS;;974,91;
 ; ;;;;
 ; ;;;;
;;TOTAL Transferencias y libramientos internos;;395.406,29;
;;



