Económica;Explicación;Total (miles Euros);Total (euros);
44;A sociedades, entidades públicas empresariales, fundaciones y resto del sector público estatal;8.027,14;8.027.140,00 €;
443;"Al Consorcio ""Ciudad de Santiago de Compostela""";4.783,16;4.783.160,00 €;
444;Al Consorcio de la Ciudad de Toledo;1.621,99;1.621.990,00 €;
445;Al Consorcio de la Ciudad de Cuenca;1.621,99;1.621.990,00 €;
;TOTAL TRANSFERENCIAS CORRIENTES;8.027,14;8.027.140,00 €;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
