Económica;Explicación;15.09;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;29.264,49;29.264,49;29.264.490,00
10;Altos cargos;61,05;61,05;61.050,00
12;Funcionarios;27.200,77;27.200,77;27.200.770,00
13;Laborales;552,67;552,67;552.670,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.450,00;1.450,00;1.450.000,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;601,21;601,21;601.210,00
21;Reparaciones, mantenimiento y conservación;129,49;129,49;129.490,00
22;Material, suministros y otros;389,99;389,99;389.990,00
23;Indemnizaciones por razón del servicio;81,73;81,73;81.730,00
4;TRANSFERENCIAS CORRIENTES;1;1;1.000,00
49;Al exterior;1;1;1.000,00
6;INVERSIONES REALES;1.430,56;1.430,56;1.430.560,00
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;1.430,56;1.430,56;1.430.560,00
—;TOTAL;—;31.297,26;31.297.260,00
