;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 931O Política tributaria;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;15.07;;Total;
1;GASTOS DE PERSONAL;5.656,06;;5.656,06;
10; Altos cargos;61,05;;61,05;
12; Funcionarios;5.297,74;;5.297,74;
13; Laborales;27,27;;27,27;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;270,00;;270,00;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;278,84;;278,84;
21; Reparaciones, mantenimiento y conservación;18,15;;18,15;
22; Material, suministros y otros;20,40;;20,40;
23; Indemnizaciones por razón del servicio;240,29;;240,29;
6;INVERSIONES REALES;34,31;;34,31;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;34,31;;34,31;
;TOTAL;5.969,21;;5.969,21;
;;



