;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 932A Aplicación del sistema tributario estatal;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;15.302;;Total;
1;GASTOS DE PERSONAL;1.029.501,18;;1.029.501,18;
10; Altos cargos;437,80;;437,80;
12; Funcionarios;820.645,23;;820.645,23;
13; Laborales;43.595,54;;43.595,54;
15; Incentivos al rendimiento;87.017,18;;87.017,18;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;77.805,43;;77.805,43;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;261.557,15;;261.557,15;
20; Arrendamientos y cánones;26.789,93;;26.789,93;
21; Reparaciones, mantenimiento y conservación;32.245,20;;32.245,20;
22; Material, suministros y otros;194.522,02;;194.522,02;
23; Indemnizaciones por razón del servicio;8.000,00;;8.000,00;
3;GASTOS FINANCIEROS;50,00;;50,00;
31; De préstamos en euros;10,00;;10,00;
35; Intereses de demora y otros gastos financieros;40,00;;40,00;
4;TRANSFERENCIAS CORRIENTES;1.040,80;;1.040,80;
45; A Comunidades Autónomas;60,00;;60,00;
48; A familias e instituciones sin fines de lucro;820,80;;820,80;
49; Al exterior;160,00;;160,00;
6;INVERSIONES REALES;102.991,79;;102.991,79;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;102.991,79;;102.991,79;
8;ACTIVOS FINANCIEROS;732,97;;732,97;
83; Concesión de préstamos fuera del Sector Público;732,97;;732,97;
;TOTAL;1.395.873,89;;1.395.873,89;
;;



