;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Programa: 932M Gestión del catastro inmobiliario;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;15.08;;Total;
1;GASTOS DE PERSONAL;84.796,22;;84.796,22;
10; Altos cargos;61,05;;61,05;
12; Funcionarios;76.432,11;;76.432,11;
13; Laborales;1.603,06;;1.603,06;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;6.700,00;;6.700,00;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.778,76;;6.778,76;
21; Reparaciones, mantenimiento y conservación;2.733,15;;2.733,15;
22; Material, suministros y otros;3.713,35;;3.713,35;
23; Indemnizaciones por razón del servicio;332,26;;332,26;
3;GASTOS FINANCIEROS;50,67;;50,67;
35; Intereses de demora y otros gastos financieros;50,67;;50,67;
4;TRANSFERENCIAS CORRIENTES;24,94;;24,94;
49; Al exterior;24,94;;24,94;
6;INVERSIONES REALES;22.387,34;;22.387,34;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;5.286,18;;5.286,18;
64; Gastos de inversiones de carácter inmaterial;17.101,16;;17.101,16;
;TOTAL;114.037,93;;114.037,93;
;;



