Económica;Explicación;16.02;16.03;16.04;16.102;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;27.865,10;3.194.292,49;2.886.282,78;1.772,21;6.110.212,58;6.110.212.580,00 €
10;Altos cargos;212,41;74,84;74,81;—;362,06;362.060,00 €
11;Personal eventual;250,13;51,07;56,47;—;357,67;357.670,00 €
12;Funcionarios;25.830,33;2.776.116,16;2.539.243,83;1.401,69;5.342.592,01;5.342.592.010,00 €
13;Laborales;366,57;14.567,98;5.651,33;43,98;20.629,86;20.629.860,00 €
15;Incentivos al rendimiento;—;221.004,46;221.608,46;241,64;442.854,56;442.854.560,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.205,66;182.477,98;119.647,88;84,9;303.416,42;303.416.420,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;177.647,78;448.741,82;349.855,50;483,53;976.728,63;976.728.630,00 €
20;Arrendamientos y cánones;40;30.253,24;15.249,00;10;45.552,24;45.552.240,00 €
21;Reparaciones, mantenimiento y conservación;11.815,00;41.055,81;92.394,00;61,11;145.325,92;145.325.920,00 €
22;Material, suministros y otros;164.842,78;324.666,33;192.933,50;385,98;682.828,59;682.828.590,00 €
23;Indemnizaciones por razón del servicio;950;52.766,44;49.279,00;26,44;103.021,88;103.021.880,00 €
3;GASTOS FINANCIEROS;0,76;167,2;200;—;367,96;367.960,00 €
35;Intereses de demora y otros gastos financieros;0,76;167,2;200;—;367,96;367.960,00 €
4;TRANSFERENCIAS CORRIENTES;46.680,63;2.587,16;1.268,30;—;50.536,09;50.536.090,00 €
45;A Comunidades Autónomas;—;—;485;—;485;485.000,00 €
48;A familias e instituciones sin fines de lucro;1.285,00;359,75;278,3;—;1.923,05;1.923.050,00 €
49;Al exterior;45.395,63;2.227,41;505;—;48.128,04;48.128.040,00 €
6;INVERSIONES REALES;109.263,77;56.141,11;98.071,04;11.100,00;274.575,92;274.575.920,00 €
60;Inversión nueva en infraestructuras y bienes de uso general;—;—;269;—;269;269.000,00 €
62;Inversión nueva asociada al funcionamiento operativo;89.253,77;15.333,60;11.844,00;550;116.981,37;116.981.370,00 €
63;Inversión de reposición asociada al funcionamiento operativo;19.910,00;40.807,51;86.227,04;10.281,00;157.225,55;157.225.550,00 €
64;Gastos de inversiones de carácter inmaterial;100;—;—;—;100;100.000,00 €
7;TRANSFERENCIAS DE CAPITAL;2.425,00;—;—;2.000,00;4.425,00;4.425.000,00 €
76;A Entidades Locales;—;—;—;2.000,00;2.000,00;2.000.000,00 €
79;Al exterior;2.425,00;—;—;—;2.425,00;2.425.000,00 €
8;ACTIVOS FINANCIEROS;—;100;47,12;10;157,12;157.120,00 €
83;Concesión de préstamos fuera del Sector Público;—;100;47,12;10;157,12;157.120,00 €
9;PASIVOS FINANCIEROS;—;—;4,87;—;4,87;4.870,00 €
91;Amortización de préstamos en euros;—;—;4,27;—;4,27;4.270,00 €
94;Devolución de depósitos y fianzas;—;—;0,6;—;0,6;600,00 €
—;—;363.883,04;3.702.029,78;3.335.729,61;15.365,74;7.417.008,17;7.417.008.170,00 €
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
