 Económico;Explicación;Importe (miles €);Importe (€)
1;GASTOS DE PERSONAL;981.670,66;981.670.660,00 €
10;Altos cargos;138,82;138.820,00 €
12;Funcionarios;787.727,86;787.727.860,00 €
13;Laborales;68.183,10;68.183.100,00 €
15;Incentivos al rendimiento;48.549,01;48.549.010,00 €
150;Productividad;48.452,78;48.452.780,00 €
151;Gratificaciones;96,23;96.230,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;77.071,87;77.071.870,00 €
16000;Seguridad Social;64.448,86;64.448.860,00 €
16200;Formación y perfeccionamiento del personal;162,78;162.780,00 €
16204;Acción social;1.964,15;1.964.150,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;314.858,49;314.858.490,00 €
20 / 202;Arrendamientos y cánones (incluye edificios);3.405,00;3.405.000,00 €
21;Reparaciones, mantenimiento y conservación;33.641,94;33.641.940,00 €
22 / 22109 / 22502;Material, suministros, locales, labores FNMT;261.335,95;261.335.950,00 €
22601 / 22611;Gastos protocolarios y representativos;10,4;10.400,00 €
23;Indemnizaciones por razón del servicio;1.548,45;1.548.450,00 €
25;Conciertos de asistencia sanitaria;14.927,15;14.927.150,00 €
3;GASTOS FINANCIEROS;15,62;15.620,00 €
35 / 352;Intereses de demora;15,62;15.620,00 €
4;TRANSFERENCIAS CORRIENTES;17.303,96;17.303.960,00 €
44 / 441 / 442;A entidades públicas y UNED;12.862,34;12.862.340,00 €
46 / 464;A entidades locales;511;511.000,00 €
48 / 481–489;A familias, ONG, cultos, programas sociales y reinserción;3.922,62;3.922.620,00 €
49 / 491;Al exterior (EUROPRIS);8;8.000,00 €
6;INVERSIONES REALES;12.213,67;12.213.670,00 €
7;TRANSFERENCIAS DE CAPITAL;100,2;100.200,00 €
74 / 740;A Trabajo Penitenciario y Formación para el Empleo;100,2;100.200,00 €
8;ACTIVOS FINANCIEROS;95,19;95.190,00 €
83 / 830;Préstamos fuera del sector público;95,19;95.190,00 €
—;TOTAL PROGRAMA 133A – CENTROS E INSTITUCIONES PENITENCIARIAS;1.326.257,79;1.326.257.790,00 €
