;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Programa: 131P Derecho de asilo y apátridas;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;16.01;;Total;
1;GASTOS DE PERSONAL;9.830,33;;9.830,33;
12; Funcionarios;7.986,12;;7.986,12;
13; Laborales;179,84;;179,84;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;1.664,37;;1.664,37;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.981,30;;5.981,30;
21; Reparaciones, mantenimiento y conservación;860,50;;860,50;
22; Material, suministros y otros;4.989,80;;4.989,80;
23; Indemnizaciones por razón del servicio;131,00;;131,00;
4;TRANSFERENCIAS CORRIENTES;290,85;;290,85;
49; Al exterior;290,85;;290,85;
6;INVERSIONES REALES;100,00;;100,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;100,00;;100,00;
;TOTAL;16.202,48;;16.202,48;
;;



