;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Programa: 132A Seguridad ciudadana;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
16.02;;SECRETARÍA DE ESTADO DE SEGURIDAD;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;212,41;
;11;Personal eventual;;250,13;
;12;Funcionarios;;25.830,33;
;13;Laborales;;366,57;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.205,66;
;16000; Seguridad Social;772,39;;
;16200; Formación y perfeccionamiento del personal;433,27;;
;;TOTAL GASTOS DE PERSONAL;;27.865,10;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;40,00;
;21;Reparaciones, mantenimiento y conservación;;11.815,00;
;22;Material, suministros y otros;;164.842,78;
;22601; Atenciones protocolarias y representativas;16,73;;
;23;Indemnizaciones por razón del servicio;;950,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;177.647,78;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;0,76;
;352;Intereses de demora;;0,76;
;;TOTAL GASTOS FINANCIEROS;;0,76;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;1.285,00;
;481;Para todo tipo de atenciones derivadas de la inmigración;;10,00;
;482;A la Cruz Roja Española para programas asistenciales en CIES;;1.125,00;
;483;A "Ayuda a Niños y Adolescentes en Riesgo" (Fundación ANAR);;150,00;
;49;Al exterior;;45.395,63;
;491;Contribución a Organismos Internacionales;;630,00;
;494;Cooperación Internacional;;44.765,63;
;;TOTAL TRANSFERENCIAS CORRIENTES;;46.680,63;
 ; ;;;;
;6;INVERSIONES REALES;;109.263,77;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;79;Al exterior;;2.425,00;
;792;Contribución a Organismos Internacionales;;10,00;
;794;Ayudas y subvenciones en el ámbito de la cooperación policial internacional;;2.415,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;2.425,00;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE SEGURIDAD;;363.883,04;
 ; ;;;;
 ; ;;;;
16.03;;DIRECCIÓN GENERAL DE LA POLICÍA;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;74,84;
;11;Personal eventual;;51,07;
;12;Funcionarios;;2.776.116,16;
;13;Laborales;;14.567,98;
;15;Incentivos al rendimiento;;221.004,46;
;150;Productividad;;217.661,84;
;151;Gratificaciones;;3.342,62;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;182.477,98;
;16000; Seguridad Social;167.237,56;;
;16204; Acción social;11.176,73;;
;;TOTAL GASTOS DE PERSONAL;;3.194.292,49;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;30.253,24;
;202;Arrendamientos de edificios y otras construcciones;;7.517,14;
;21;Reparaciones, mantenimiento y conservación;;41.055,81;
;22;Material, suministros y otros;;324.666,33;
;22109; Labores Fábrica Nacional Moneda y Timbre;7.509,29;;
;22110; A la Fábrica Nacional de Moneda y Timbre por afectación de las tasas del DNI y pasaportes;98.668,43;;
;22502; Locales;170,00;;
;22611; Gastos protocolarios y representativos derivados de actos institucionales;102,00;;
;23;Indemnizaciones por razón del servicio;;52.766,44;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;448.741,82;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;167,20;
;352;Intereses de demora;;167,20;
;;TOTAL GASTOS FINANCIEROS;;167,20;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;359,75;
;481;A la Fundación de Huérfanos de la Dirección General de la Policía para apoyar la formación educativa de los huérfanos de funcionarios de la Policía Nacional;;9,23;
;483;A Organizaciones Sindicales de la Policía Nacional, en proporción a su representatividad;;237,30;
;484;Compensación económica por participación de Centrales Sindicales en el Consejo de la Policía, comisiones de trabajo y órganos consultivos;;23,22;
;485;A la Agrupación Deportiva de la Policía para actividades y equipamiento deportivos;;20,00;
;486;Ayudas derivadas de la inmigración;;70,00;
;49;Al exterior;;2.227,41;
;491;Contribución a Organismos Internacionales;;1.773,56;
;494;Cooperación Internacional con otros países en materia policial;;90,00;
;495;Cooperación Internacional con otros países: Ayudas directas;;120,00;
;496;Cooperación Internacional con otros países: Formación;;243,85;
;;TOTAL TRANSFERENCIAS CORRIENTES;;2.587,16;
 ; ;;;;
;6;INVERSIONES REALES;;56.141,11;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;100,00;
;830;Préstamos a corto plazo;;100,00;
;;TOTAL ACTIVOS FINANCIEROS;;100,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE LA POLICÍA;;3.702.029,78;
 ; ;;;;
 ; ;;;;
16.04;;DIRECCIÓN GENERAL DE LA GUARDIA CIVIL;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;74,81;
;11;Personal eventual;;56,47;
;12;Funcionarios;;2.539.243,83;
;13;Laborales;;5.651,33;
;15;Incentivos al rendimiento;;221.608,46;
;150;Productividad;;197.631,52;
;151;Gratificaciones;;23.976,94;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;119.647,88;
;16000; Seguridad Social;104.053,72;;
;16204; Acción social;11.176,73;;
;;TOTAL GASTOS DE PERSONAL;;2.886.282,78;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;20;Arrendamientos y cánones;;15.249,00;
;202;Arrendamientos de edificios y otras construcciones;;9.496,00;
;21;Reparaciones, mantenimiento y conservación;;92.394,00;
;22;Material, suministros y otros;;192.933,50;
;22109; Labores Fábrica Nacional Moneda y Timbre;900,00;;
