;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;Programa: 132C Actuaciones policiales en materia de droga;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
16.02;;SECRETARÍA DE ESTADO DE SEGURIDAD;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;3.633,74;
;13;Laborales;;128,55;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;103,78;
;16000; Seguridad Social;86,70;;
;;TOTAL GASTOS DE PERSONAL;;3.866,07;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;21;Reparaciones, mantenimiento y conservación;;182,13;
;22;Material, suministros y otros;;932,10;
;23;Indemnizaciones por razón del servicio;;91,95;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;1.206,18;
 ; ;;;;
;6;INVERSIONES REALES;;780,27;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE SEGURIDAD;;5.852,52;
 ; ;;;;
 ; ;;;;
16.03;;DIRECCIÓN GENERAL DE LA POLICÍA;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;66.919,77;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;4.263,24;
;16000; Seguridad Social;4.263,24;;
;;TOTAL GASTOS DE PERSONAL;;71.183,01;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;1,16;
;23;Indemnizaciones por razón del servicio;;367,73;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;368,89;
 ; ;;;;
;6;INVERSIONES REALES;;750,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE LA POLICÍA;;72.301,90;
 ; ;;;;
 ; ;;;;
16.04;;DIRECCIÓN GENERAL DE LA GUARDIA CIVIL;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;29.705,47;
;;TOTAL GASTOS DE PERSONAL;;29.705,47;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;21;Reparaciones, mantenimiento y conservación;;15,00;
;22;Material, suministros y otros;;292,00;
;23;Indemnizaciones por razón del servicio;;202,00;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;509,00;
 ; ;;;;
;6;INVERSIONES REALES;;100,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE LA GUARDIA CIVIL;;30.314,47;
 ; ;;;;
 ; ;;;;
;;TOTAL Actuaciones policiales en materia de droga;;108.468,89;
;;



