;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 9;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;OO.AA.;Total;
131M; Dirección y Servicios Generales de Seguridad y Protección Civil;442.583,55;;442.583,55;
131N; Formación de Fuerzas y Cuerpos de Seguridad del Estado;174.908,67;4.000,00;178.908,67;
131O; Fuerzas y Cuerpos en reserva;304.720,15;;304.720,15;
131P; Derecho de asilo y apátridas;16.202,48;;16.202,48;
132A; Seguridad ciudadana;7.401.642,43;15.365,74;7.417.008,17;
132B; Seguridad vial;;843.692,10;843.692,10;
132C; Actuaciones policiales en materia de droga;108.468,89;;108.468,89;
133A; Centros e Instituciones Penitenciarias;1.326.257,79;;1.326.257,79;
134M; Protección Civil;16.749,71;;16.749,71;
924M; Elecciones y Partidos Políticos;461.567,98;;461.567,98;
;TOTAL CONSOLIDADO;10.253.101,65;863.057,84;11.116.159,49;
000X; Transferencias y libramientos internos;6.146,30;136.154,92;142.301,22;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;6.146,30;136.154,92;142.301,22;
;TOTAL;10.259.247,95;999.212,76;11.258.460,71;
;;



