Orgánica;Económica;Explicación;Total (miles €);Total (€)
17.50;764;A la Mancomunidad Don Benito–Villanueva de la Serena, para actuaciones integradas en el Programa de Zonas de bajas emisiones y transformación del transporte urbano y metropolitano. MRR;2.521,40;2.521.400,00 €
17.50;767;Al Ayuntamiento de A Coruña, para actuaciones integradas en el Programa de Zonas de bajas emisiones y transformación del transporte urbano y metropolitano. MRR;9.092,00;9.092.000,00 €
17.50;—;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;987.148,53;987.148.530,00 €
—;—;TOTAL PROGRAMA 45AA C01.I01 – Zonas de bajas emisiones y transformación del transporte urbano y metropolitano. Infraestructuras y Ecosistemas Resilientes;987.148,53;987.148.530,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
