Orgánica;Económica;Explicación;Importe (miles €);Total (€)
17.20;443;Compensación a SEITTSA por modificación de tarifas;800;800.000,00 €
17.20;45700;Subvención directa a Xunta de Galicia (AG-55 – Puerto Exterior de A Coruña);350;350.000,00 €
17.20;47000;Autopista Vasco-Aragonesa – exención peaje La Rioja (AP-68);5.300,00;5.300.000,00 €
17.20;47001;Autopista Vasco-Aragonesa – bonificaciones Zaragoza-Gallur;1.057,54;1.057.540,00 €
17.20;47003;Autopista Vasco-Aragonesa – reducciones AP-68 La Rioja;1.386,65;1.386.650,00 €
17.20;47020;Autopista Astur Leonesa – bonificaciones vehículos ligeros AP-66;6.272,70;6.272.700,00 €
17.20;47021;Autopista Astur Leonesa – bonificaciones vehículos pesados AP-66;9.496,76;9.496.760,00 €
17.20;47030;Autopistas del Atlántico – supresión peajes O Morrazo-Vigo y A Coruña-A Barcala;9.091,64;9.091.640,00 €
17.20;47031;Bonificaciones AP-9 Ferrol-Frontera Portuguesa;56.360,25;56.360.250,00 €
17.20;47040;Compensación Autopista Madrid-Toledo (sentencia TS);0,5;500,00 €
17.20;473;Rebaja de tarifas de peaje;8.000,00;8.000.000,00 €
17.39;440;Fundación de los Ferrocarriles Españoles;40;40.000,00 €
17.39;442;Renfe Viajeros – Obligaciones de Servicio Público;1.009.000,00;1.009.000.000,00 €
17.39;443;Renfe Viajeros – adquisición de material rodante;1;1.000,00 €
17.39;445;Renfe Viajeros – reducción precio abonos y títulos multiviaje;3.600,00;3.600.000,00 €
17.39;447;Renfe Viajeros – compensación servicios traspasados a Cataluña;301.000,00;301.000.000,00 €
17.39;451;ATM Barcelona – financiación transporte regular;149.301,52;149.301.520,00 €
17.39;45201;Comunidad Autónoma de Canarias – descuento 100% abonos transporte;81.000,00;81.000.000,00 €
17.39;453;Comunidad Autónoma de Canarias – financiación transporte regular;47.500,00;47.500.000,00 €
17.39;454;Consorcio Regional de Transportes de Madrid;126.894,00;126.894.000,00 €
17.39;455;Subvenciones movilidad territorial innovadora – Comunidades Autónomas;3.750,00;3.750.000,00 €
17.39;458;ATM Valencia – financiación transporte regular;40.000,00;40.000.000,00 €
17.39;459;Subvenciones temporales por asunción de servicios autonómicos;3.000,00;3.000.000,00 €
17.39;461;Subvenciones movilidad territorial innovadora – Entidades Locales;1.250,00;1.250.000,00 €
17.39;462;Cofinanciación transporte colectivo urbano – Corporaciones Locales;51.054,74;51.054.740,00 €
17.39;463;Proyecto piloto servicios de proximidad – Córdoba;2.000,00;2.000.000,00 €
17.39;471;Ayudas a empresas ferroviarias – reducción precio abonos;100;100.000,00 €
17.39;473;Transporte regular de viajeros por carretera – Obligaciones de Servicio Público;15.000,00;15.000.000,00 €
17.39;482;Bonificaciones billetes ferroviarios – familias numerosas;10.000,00;10.000.000,00 €
17.39;483;Bonificaciones billetes intermodales con alta velocidad;200;200.000,00 €
17.39;492;Cuotas a organismos internacionales;234,59;234.590,00 €
17.20;780;Museu del Ferrocarril de Móra la Nova – ampliación instalaciones;1.200,00;1.200.000,00 €
17.39;741;Fomento del uso social del transporte público;660.000,00;660.000.000,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
