Económica;Explicación;17.32 (miles €);Total (miles €);Total (€)
3;GASTOS FINANCIEROS;16,31;16,31;16.310,00 €
35;Intereses de demora y otros gastos financieros;16,31;16,31;16.310,00 €
4;TRANSFERENCIAS CORRIENTES;183.932,61;183.932,61;183.932.610,00 €
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;15.433,34;15.433,34;15.433.340,00 €
48;A familias e instituciones sin fines de lucro;168.499,27;168.499,27;168.499.270,00 €
—;TOTAL PROGRAMA 441N – Transporte marítimo;—;183.948,92;183.948.920,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
