Económica;Explicación;17.101 (miles €);Total (miles €);Total (€)
6;INVERSIONES REALES;1.000,00;1.000,00;1.000.000,00 €
62;Inversión nueva asociada al funcionamiento operativo de los servicios;560;560;560.000,00 €
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;340;340;340.000,00 €
64;Gastos de inversiones de carácter inmaterial;100;100;100.000,00 €
—;TOTAL PROGRAMA 467B – Investigación, desarrollo y experimentación en transporte e infraestructuras;1.000,00;1.000,00;1.000.000,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
