Clasificación por programas;Explicación;Estado ;OO.AA. ;Resto Entidades ;Total (mil euros);Total (euros)
441M;Subvenciones transporte terrestre;2.604.241,89;—;—;2.604.241,89;2.604.241.890
441N;Subvenciones transporte marítimo;183.948,92;—;—;183.948,92;183.948.920
441O;Subvenciones transporte aéreo;573.860,05;—;—;573.860,05;573.860.050
441P;Transporte extrapeninsular mercancías;84.279,24;—;—;84.279,24;84.279.240
45AA;Zonas bajas emisiones (infraestructura);987.148,53;—;—;987.148,53;987.148.530
45AC;Mejora servicio Cercanías;358.989,77;—;—;358.989,77;358.989.770
45FA;Corredores europeos;236.816,02;—;—;236.816,02;236.816.020
45FB;Red Transeuropea Transporte;514.984,74;—;—;514.984,74;514.984.740
45FC;Intermodalidad y logística;316.681,12;—;—;316.681,12;316.681.120
45FD;Transporte sostenible y digital;132.000,00;—;—;132.000,00;132.000.000
45SC;Competencias digitales empleo;11.500,00;—;—;11.500,00;11.500.000
451M;Asistencia técnica obras públicas;—;33.395,55;—;33.395,55;33.395.550
451N;Dirección y servicios generales;439.055,61;—;—;439.055,61;439.055.610
453A;Infraestructura ferroviaria;1.733.244,11;—;—;1.733.244,11;1.733.244.110
453B;Infraestructura carreteras;1.593.547,10;—;—;1.593.547,10;1.593.547.100
453C;Conservación carreteras;1.208.409,41;—;—;1.208.409,41;1.208.409.410
453M;Ordenación transporte terrestre;24.304,79;—;—;24.304,79;24.304.790
453N;Supervisión seguridad ferroviaria;—;—;16.463,52;16.463,52;16.463.520
453O;Investigación accidentes ferroviarios;516,15;—;—;516,15;516.150
454M;Seguridad tráfico marítimo;36.829,51;—;—;36.829,51;36.829.510
454O;Investigación accidentes marítimos;2.687,18;—;—;2.687,18;2.687.180
455M;Supervisión aviación civil;10.310,28;—;82.622,35;92.932,63;92.932.630
455O;Investigación accidentes aviación;1.762,85;—;—;1.762,85;1.762.850
46AA;Zonas bajas emisiones (I+D+i);2.580,17;—;—;2.580,17;2.580.170
46FB;Red Transeuropea (I+D+i);30.284,54;—;—;30.284,54;30.284.540
46QC;Proyectos I+D público-privados;—;4,47;—;4,47;4.470
467B;I+D transporte e infraestructuras;—;1.000,00;—;1.000,00;1.000.000
467G;Sociedad de la Información;980;—;—;980;980.000
495A;Información geográfica española;32.630,42;13.331,36;—;45.961,78;45.961.780
497M;Salvamento y contaminación marítima;189.760,00;—;—;189.760,00;189.760.000
000X;Transferencias internas;139.943,52;15;1.094,63;141.053,15;141.053.150
—;TOTAL CONSOLIDADO;11.451.295,92;47.746,38;100.180,50;11.599.222,80;11.599.222.800
