Orgánica;Económica;Explicación;Total (mil €);Total (€)
17.50;447;A SEITTSA para el Mecanismo de Recuperación y Resiliencia;5.061,92;5.061.920,00 €
17.50;742;A ADIF para el Mecanismo de Recuperación y Resiliencia;204.561,63;204.561.630,00 €
17.50;743;A ENAIRE para el Mecanismo de Recuperación y Resiliencia;17.817,32;17.817.320,00 €
17.50;746;A ADIF-Alta Velocidad para el Mecanismo de Recuperación y Resiliencia;29.443,32;29.443.320,00 €
17.50;748;A SECEGSA para el Mecanismo de Recuperación y Resiliencia;750;750.000,00 €
17.50;755;Convenio con la Generalitat de Catalunya para la cesión de la B-23 e implantación del carril BUS-VAO en el acceso a Barcelona;5.767,77;5.767.770,00 €
—;—;TOTAL Mecanismo de Recuperación y Resiliencia;514.984,74;514.984.740,00 €
—;—;TOTAL Programa C06.I02;514.984,74;514.984.740,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
