Económica;Explicación;17.50 (mil €);Total (mil €);Total (€)
4;TRANSFERENCIAS CORRIENTES;5.061,92;5.061,92;5.061.920,00 €
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;5.061,92;5.061,92;5.061.920,00 €
6;INVERSIONES REALES;251.582,78;251.582,78;251.582.780,00 €
69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;251.582,78;251.582,78;251.582.780,00 €
7;TRANSFERENCIAS DE CAPITAL;258.340,04;258.340,04;258.340.040,00 €
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;252.572,27;252.572,27;252.572.270,00 €
75;A Comunidades Autónomas;5.767,77;5.767,77;5.767.770,00 €
—;TOTAL;514.984,74;514.984,74;514.984.740,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
