Económica;Explicación;Orgánica;Importe (mil €);Importe (€)
3;GASTOS FINANCIEROS;17.32;16,31;16.310,00 €
35;Intereses de demora y otros gastos financieros;17.32;16,31;16.310,00 €
4;TRANSFERENCIAS CORRIENTES;17.32;183.932,61;183.932.610,00 €
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y otras entidades;17.32;15.433,34;15.433.340,00 €
48;A familias e instituciones sin fines de lucro;17.32;168.499,27;168.499.270,00 €
TOTAL;;;183.948,92;183.948.920,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
