Orgánica;Económica;Explicación;Importe (mil €);Importe (€)
17.34;47;A empresas privadas;8.600,00;8.600.000,00 €
17.34;470;Transporte aéreo en Canarias (OSP);3.800,00;3.800.000,00 €
17.34;471;Transporte aéreo en Menorca (OSP);1.800,00;1.800.000,00 €
17.34;472;Transporte aéreo en Melilla (OSP);3.000,00;3.000.000,00 €
17.34;48;A familias e instituciones sin fines de lucro;565.260,05;565.260.050,00 €
17.34;483;Subvención al tráfico aéreo regular;560.810,05;560.810.050,00 €
17.34;487;Bonificaciones en billetes para familias numerosas;4.450,00;4.450.000,00 €
;;TOTAL TRANSFERENCIAS CORRIENTES;573.860,05;573.860.050,00 €
;;TOTAL DIRECCIÓN GENERAL DE AVIACIÓN CIVIL;573.860,05;573.860.050,00 €
;;TOTAL PROGRAMA 441O – Subvenciones y apoyo al transporte aéreo;573.860,05;573.860.050,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
