Capítulo Económico;Detalle;Importe (mil €);Importe (€)
1 – Gastos de Personal;Funcionarios, laborales, cuotas sociales;20.184,28;20.184.280,00 €
12;Funcionarios;7.176,84;7.176.840,00 €
13;Laborales;9.507,44;9.507.440,00 €
16;Cuotas y prestaciones sociales;3.500,00;3.500.000,00 €
2 – Gastos Corrientes;Reparaciones, suministros, locales;34.725,13;34.725.130,00 €
21;Reparaciones y mantenimiento;146,23;146.230,00 €
22;Material, suministros y otros;34.578,90;34.578.900,00 €
22502;Locales;89,93;89.930,00 €
6 – Inversiones Reales;Conservación y explotación de infraestructuras viarias;1.153.500,00;1.153.500.000,00 €
—;TOTAL PROGRAMA 453C;1.208.409,41;1.208.409.410,00 €
;;;
;;;
;;;
;;;
;;;
