Económico;Explicación;Total (miles  euros);Total (euros)
1;Incentivos, formación, acción social;6.896,05;6.896.050,00
15;Incentivos al rendimiento (productividad + gratificaciones);844,66;844.660,00
150;Productividad;790,33;790.330,00
151;Gratificaciones;54,33;54.330,00
16200;Formación y perfeccionamiento del personal;55;55.000,00
16204;Acción social;20;20.000,00
2;Labores FNMT, protocolo;94,34;94.340,00
22109;Labores Fábrica Nacional de Moneda y Timbre;92;92.000,00
22601;Atenciones protocolarias y representativas;2,34;2.340,00
—;TOTAL PROGRAMA 453N;16.463,52;16.463.520,00
