Económica;Explicación;Órgano gestor;Importe (mil €);Importe (€)
1;GASTOS DE PERSONAL;Ministerio, Subsecretaría y Servicios Generales;1.094,04;1.094.040,00 €
12;Funcionarios;Ministerio, Subsecretaría y Servicios Generales;978,3;978.300,00 €
13;Laborales;Ministerio, Subsecretaría y Servicios Generales;24,74;24.740,00 €
16;Cuotas, prestaciones y gastos sociales;Ministerio, Subsecretaría y Servicios Generales;91;91.000,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;Ministerio, Subsecretaría y Servicios Generales;98,59;98.590,00 €
22;Material, suministros y otros;Ministerio, Subsecretaría y Servicios Generales;20;20.000,00 €
23;Indemnizaciones por razón del servicio;Ministerio, Subsecretaría y Servicios Generales;78,59;78.590,00 €
6;INVERSIONES REALES;Ministerio, Subsecretaría y Servicios Generales;570,22;570.220,00 €
—;TOTAL PROGRAMA 455O – Comisión de Investigación de Accidentes e Incidentes de Aviación Civil;—;1.762,85;1.762.850,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
