;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;Programa: 441P Subvenciones al transporte extrapeninsular de mercancías;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
17.20;;SECRETARÍA DE ESTADO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;47;A empresas privadas;;84.279,24;
;471;Transporte del plátano de Canarias;;20.000,00;
;478;Subvención al transporte marítimo y aéreo de mercancías con origen o destino en territorios extrapeninsulares de acuerdo con la legislación vigente;;64.279,24;
;;TOTAL TRANSFERENCIAS CORRIENTES;;84.279,24;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;;84.279,24;
 ; ;;;;
 ; ;;;;
;;TOTAL Subvenciones al transporte extrapeninsular de mercancías;;84.279,24;
;;



