;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 241B Formación Profesional para el Empleo;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
18.05;;SECRETARÍA GENERAL DE FORMACIÓN PROFESIONAL;;;
;1;GASTOS DE PERSONAL;;;
;12;Funcionarios;;967,36;
;13;Laborales;;328,23;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;657,91;
;16000; Seguridad Social;657,91;;
;;TOTAL GASTOS DE PERSONAL;;1.953,50;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;22;Material, suministros y otros;;18.820,12;
;22109; Labores Fábrica Nacional Moneda y Timbre;247,37;;
;23;Indemnizaciones por razón del servicio;;1.720,06;
;24;Gastos de publicaciones;;247,35;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;20.787,53;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;2.245,73;
;442;Reserva de gestión directa. Trabajo Penitenciario y Formación para el Empleo. Para cuotas de seguros de accidentes de alumnos, becas y/o ayudas a alumnos y subvenciones a centros y entidades de Formación Profesional para el Empleo a parados;;2.245,73;
;45;A Comunidades Autónomas;;974.959,97;
;458;Gestión por las comunidades autónomas de iniciativas del sistema de Formación Profesional para el Empleo;;974.959,97;
;45805; Programa especial de Formación Profesional para el Empleo en el sector turístico y en sectores económicos "avanzados" para la Comunidad Autónoma de Canarias.;1.255,90;;
;45810; A la Comunidad Autónoma del País Vasco para la gestión de iniciativas del sistema de Formación Profesional para el Empleo;71.973,82;;
;48;A familias e instituciones sin fines de lucro;;173.370,63;
;481;Reserva de gestión directa de créditos destinados a programas de fomento de empleo;;160.467,45;
;482;A centros y entidades de formación y otros;;12.903,18;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1.150.576,33;
 ; ;;;;
;6;INVERSIONES REALES;;5.068,90;
 ; ;;;;
;;TOTAL SECRETARÍA GENERAL DE FORMACIÓN PROFESIONAL;;1.178.386,26;
 ; ;;;;
 ; ;;;;
;;TOTAL Formación Profesional para el Empleo;;1.178.386,26;
;;



