;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 33ZB C26.I02 Plan de Transición Ecológica de Instalaciones Deportivas;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;18.106;;Total;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.271,54;;2.271,54;
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;2.271,54;;2.271,54;
4;TRANSFERENCIAS CORRIENTES;2.000,00;;2.000,00;
46; A Entidades Locales;2.000,00;;2.000,00;
6;INVERSIONES REALES;26.641,65;;26.641,65;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;26.641,65;;26.641,65;
7;TRANSFERENCIAS DE CAPITAL;38.085,00;;38.085,00;
75; A Comunidades Autónomas;7.237,00;;7.237,00;
76; A Entidades Locales;30.848,00;;30.848,00;
;TOTAL;68.998,19;;68.998,19;
;;



