Clasificación por programa;Explicación;Estado;OO.AA.;Resto Entidades;Total (miles  euros);Total (euros)
441M;Subvenciones y apoyo al transporte terrestre;2.604.241,89;—;—;2.604.241,89;2.604.241.890,00
441N;Subvenciones y apoyo al transporte marítimo;183.948,92;—;—;183.948,92;183.948.920,00
441O;Subvenciones y apoyo al transporte aéreo;573.860,05;—;—;573.860,05;573.860.050,00
441P;Subvenciones al transporte extrapeninsular de mercancías;84.279,24;—;—;84.279,24;84.279.240,00
45AA;Zonas de bajas emisiones y transformación urbana (Infraestructuras);987.148,53;—;—;987.148,53;987.148.530,00
45AC;Mejora de la calidad en Cercanías;358.989,77;—;—;358.989,77;358.989.770,00
45FA;Red nacional de transporte: Corredores europeos;236.816,02;—;—;236.816,02;236.816.020,00
45FB;Red Transeuropea de Transporte (Infraestructuras);514.984,74;—;—;514.984,74;514.984.740,00
45FC;Intermodalidad y logística;316.681,12;—;—;316.681,12;316.681.120,00
45FD;Transporte sostenible y digital;132.000,00;—;—;132.000,00;132.000.000,00
45SC;Competencias digitales para el empleo;11.500,00;—;—;11.500,00;11.500.000,00
451M;Asistencia técnica en Obras Públicas y Urbanismo;—;33.395,55;—;33.395,55;33.395.550,00
451N;Dirección y Servicios Generales;439.055,61;—;—;439.055,61;439.055.610,00
453A;Infraestructura del transporte ferroviario;1.733.244,11;—;—;1.733.244,11;1.733.244.110,00
453B;Creación de infraestructura de carreteras;1.593.547,10;—;—;1.593.547,10;1.593.547.100,00
453C;Conservación y explotación de carreteras;1.208.409,41;—;—;1.208.409,41;1.208.409.410,00
453M;Ordenación e inspección del transporte terrestre;24.304,79;—;—;24.304,79;24.304.790,00
453N;Seguridad ferroviaria (Regulación y supervisión);—;16.463,52;—;16.463,52;16.463.520,00
453O;Comisión de Investigación de Accidentes Ferroviarios;516,15;—;—;516,15;516.150,00
454M;Seguridad del tráfico marítimo;36.829,51;—;—;36.829,51;36.829.510,00
454O;Comisión de Investigación de Accidentes Marítimos;2.687,18;—;—;2.687,18;2.687.180,00
455M;Seguridad de la aviación civil;10.310,28;—;82.622,35;92.932,63;92.932.630,00
455O;Comisión de Investigación de Accidentes Aéreos;1.762,85;—;—;1.762,85;1.762.850,00
46AA;Zonas de bajas emisiones (I+D+i y digitalización);2.580,17;—;—;2.580,17;2.580.170,00
46FB;Red Transeuropea de Transporte (I+D+i y digitalización);30.284,54;—;—;30.284,54;30.284.540,00
46QC;Proyectos I+D+I interdisciplinarios y compra pública pre-comercial;—;4,47;—;4,47;4.470,00
467B;I+D en transporte e infraestructuras;—;1.000,00;—;1.000,00;1.000.000,00
467G;I+D en Sociedad de la Información;980;—;—;980;980.000,00
495A;Información geográfica española;32.630,42;13.331,36;—;45.961,78;45.961.780,00
497M;Salvamento y lucha contra la contaminación en la mar;189.760,00;—;—;189.760,00;189.760.000,00
000X;Transferencias y libramientos internos;139.943,52;15;1.094,63;141.053,15;141.053.150,00
—;TOTAL CONSOLIDADO (Capítulos 1 a 8);11.311.352,40;47.731,38;99.085,87;11.458.169,65;11.458.169.650,00
—;TOTAL GENERAL (incluye transferencias entre subsector público);11.451.295,92;47.746,38;100.180,50;11.599.222,80;11.599.222.800,00
