Programa;Explicación;Estado;OO.AA.;R. Entidades;Total (mil €);Total (€)
441M;Subvenciones y apoyo al transporte terrestre;2.604.241,89;—;—;2.604.241,89;2.604.241.890,00
441N;Subvenciones y apoyo al transporte marítimo;183.948,92;—;—;183.948,92;183.948.920,00
441O;Subvenciones y apoyo al transporte aéreo;573.860,05;—;—;573.860,05;573.860.050,00
441P;Transporte extrapeninsular de mercancías;84.279,24;—;—;84.279,24;84.279.240,00
45AA;Zonas de bajas emisiones (Infraestructuras);987.148,53;—;—;987.148,53;987.148.530,00
45AC;Mejora del servicio de Cercanías;358.989,77;—;—;358.989,77;358.989.770,00
45FA;Corredores europeos;236.816,02;—;—;236.816,02;236.816.020,00
45FB;Red Transeuropea de Transporte;514.984,74;—;—;514.984,74;514.984.740,00
45FC;Intermodalidad y logística;316.681,12;—;—;316.681,12;316.681.120,00
45FD;Transporte sostenible y digital;132.000,00;—;—;132.000,00;132.000.000,00
45SC;Competencias digitales para el empleo;11.500,00;—;—;11.500,00;11.500.000,00
451M;Asistencia técnica en Obras Públicas;—;33.395,55;—;33.395,55;33.395.550,00
451N;Dirección y Servicios Generales;439.055,61;—;—;439.055,61;439.055.610,00
453A;Infraestructura ferroviaria;1.733.244,11;—;—;1.733.244,11;1.733.244.110,00
453B;Creación de infraestructura de carreteras;1.593.547,10;—;—;1.593.547,10;1.593.547.100,00
453C;Conservación y explotación de carreteras;1.208.409,41;—;—;1.208.409,41;1.208.409.410,00
453M;Ordenación del transporte terrestre;24.304,79;—;—;24.304,79;24.304.790,00
453N;Supervisión de seguridad ferroviaria;—;—;16.463,52;16.463,52;16.463.520,00
453O;Investigación de Accidentes Ferroviarios;516,15;—;—;516,15;516.150,00
454M;Seguridad del tráfico marítimo;36.829,51;—;—;36.829,51;36.829.510,00
454O;Investigación de Accidentes Marítimos;2.687,18;—;—;2.687,18;2.687.180,00
455M;Supervisión de aviación civil;10.310,28;—;82.622,35;92.932,63;92.932.630,00
455O;Investigación de Accidentes Aéreos;1.762,85;—;—;1.762,85;1.762.850,00
46AA;Zonas de bajas emisiones (I+D+i);2.580,17;—;—;2.580,17;2.580.170,00
46FB;Red Transeuropea (I+D+i);30.284,54;—;—;30.284,54;30.284.540,00
46QC;Proyectos I+D+I interdisciplinarios;—;4,47;—;4,47;4.470,00
467B;I+D en transporte e infraestructuras;—;1.000,00;—;1.000,00;1.000.000,00
467G;I+D en Sociedad de la Información;980,00;—;—;980,00;980.000,00
495A;Información geográfica española;32.630,42;13.331,36;—;45.961,78;45.961.780,00
497M;Salvamento y lucha contra la contaminación en la mar;189.760,00;—;—;189.760,00;189.760.000,00
000X;Transferencias internas;139.943,52;42,6;1.094,63;141.080,75;141.080.750,00
—;TOTAL GENERAL;11.451.295,92;47.773,98;100.180,50;11.599.250,40;11.599.250.400,00
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
