Orgánica;Económica;Explicación;Órgano Gestor;Importe (miles de €);Importe Total (€)
19.01;10;Altos cargos;Ministerio y Subsecretaría;345,7;345.700,00
19.01;11;Personal eventual;Ministerio y Subsecretaría;798,26;798.260,00
19.01;12;Funcionarios;Ministerio y Subsecretaría;27.983,18;27.983.180,00
19.01;13;Laborales;Ministerio y Subsecretaría;10.476,24;10.476.240,00
19.01;15;Incentivos al rendimiento;Ministerio y Subsecretaría;3.381,84;3.381.840,00
19.01;150;Productividad;Ministerio y Subsecretaría;3.143,49;3.143.490,00
19.01;151;Gratificaciones;Ministerio y Subsecretaría;238,35;238.350,00
19.01;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;Ministerio y Subsecretaría;5.273,37;5.273.370,00
19.01;16000;Seguridad Social;Ministerio y Subsecretaría;4.011,35;4.011.350,00
19.01;16200;Formación y perfeccionamiento del personal;Ministerio y Subsecretaría;124,58;124.580,00
19.01;16204;Acción social;Ministerio y Subsecretaría;240,81;240.810,00
—;—;TOTAL GASTOS DE PERSONAL;—;48.258,59;48.258.590,00
19.01;20;Arrendamientos y cánones;Ministerio y Subsecretaría;3.332,06;3.332.060,00
19.01;202;Arrendamientos de edificios y otras construcciones;Ministerio y Subsecretaría;1.100,90;1.100.900,00
19.01;207;Arrendamientos de edificios PSA;Ministerio y Subsecretaría;1.823,19;1.823.190,00
19.01;21;Reparaciones, mantenimiento y conservación;Ministerio y Subsecretaría;2.492,64;2.492.640,00
19.01;22;Material, suministros y otros;Ministerio y Subsecretaría;20.183,18;20.183.180,00
19.01;22502;Locales;Ministerio y Subsecretaría;5.750,00;5.750.000,00
19.01;22601;Atenciones protocolarias y representativas;Ministerio y Subsecretaría;71,65;71.650,00
19.01;23;Indemnizaciones por razón del servicio;Ministerio y Subsecretaría;1.451,13;1.451.130,00
19.01;24;Gastos de publicaciones;Ministerio y Subsecretaría;180,45;180.450,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;27.639,46;27.639.460,00
19.01;35;Intereses de demora y otros gastos financieros;Ministerio y Subsecretaría;43,66;43.660,00
19.01;352;Intereses de demora;Ministerio y Subsecretaría;4,66;4.660,00
19.01;359;Otros gastos financieros;Ministerio y Subsecretaría;39;39.000,00
—;—;TOTAL GASTOS FINANCIEROS;—;43,66;43.660,00
19.01;48;A familias e instituciones sin fines de lucro;Ministerio y Subsecretaría;21.099,29;21.099.290,00
19.01;480;A los participantes en órganos consultivos y consejos;Ministerio y Subsecretaría;4.099,29;4.099.290,00
19.01;489;Financiación y compensaciones económicas;Ministerio y Subsecretaría;17.000,00;17.000.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES;—;21.099,29;21.099.290,00
19.01;627;Patrimonio Sindical Acumulado;Ministerio y Subsecretaría;2.200,00;2.200.000,00
19.01;637;Patrimonio Sindical Acumulado;Ministerio y Subsecretaría;12.059,12;12.059.120,00
—;—;TOTAL INVERSIONES REALES;—;17.401,09;17.401.090,00
19.01;83;Concesión de préstamos fuera del Sector Público;Ministerio y Subsecretaría;19,97;19.970,00
19.01;831;Préstamos a largo plazo;Ministerio y Subsecretaría;19,97;19.970,00
19.01;84;Constitución de depósitos y fianzas;Ministerio y Subsecretaría;45;45.000,00
19.01;841;Fianzas;Ministerio y Subsecretaría;45;45.000,00
—;—;TOTAL ACTIVOS FINANCIEROS;—;64,97;64.970,00
—;—;TOTAL MINISTERIO Y SUBSECRETARÍA;—;114.507,06;114.507.060,00
19.03;10;Altos cargos;Secretaría de Estado de Trabajo;80,3;80.300,00
19.03;11;Personal eventual;Secretaría de Estado de Trabajo;253,32;253.320,00
19.03;12;Funcionarios;Secretaría de Estado de Trabajo;3.585,17;3.585.170,00
19.03;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;Secretaría de Estado de Trabajo;476,89;476.890,00
19.03;16000;Seguridad Social;Secretaría de Estado de Trabajo;476,89;476.890,00
—;—;TOTAL SECRETARÍA DE ESTADO DE TRABAJO;—;4.395,68;4.395.680,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
