Económica;Explicación;Órgano Gestor (19.301);Importe (miles €);Importe Total (€)
1;Gastos de personal;Consejo Económico y Social;4.414,06;4.414.060,00
10;Altos cargos;Consejo Económico y Social;193,29;193.290,00
13;Laborales;Consejo Económico y Social;2.907,10;2.907.100,00
14;Otro personal;Consejo Económico y Social;346,05;346.050,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;Consejo Económico y Social;967,62;967.620,00
2;Gastos corrientes en bienes y servicios;Consejo Económico y Social;2.017,82;2.017.820,00
20;Arrendamientos y cánones;Consejo Económico y Social;32,92;32.920,00
21;Reparaciones, mantenimiento y conservación;Consejo Económico y Social;309,41;309.410,00
22;Material, suministros y otros;Consejo Económico y Social;1.533,76;1.533.760,00
23;Indemnizaciones por razón del servicio;Consejo Económico y Social;55,7;55.700,00
24;Gastos de publicaciones;Consejo Económico y Social;86,03;86.030,00
4;Transferencias corrientes;Consejo Económico y Social;1.512,45;1.512.450,00
48;A familias e instituciones sin fines de lucro;Consejo Económico y Social;1.512,45;1.512.450,00
6;Inversiones reales;Consejo Económico y Social;1.249,97;1.249.970,00
62;Inversión nueva asociada al funcionamiento operativo;Consejo Económico y Social;101,75;101.750,00
63;Inversión de reposición asociada al funcionamiento operativo;Consejo Económico y Social;1.058,22;1.058.220,00
64;Gastos de inversiones de carácter inmaterial;Consejo Económico y Social;90;90.000,00
8;Activos financieros;Consejo Económico y Social;26,55;26.550,00
83;Concesión de préstamos fuera del Sector Público;Consejo Económico y Social;26,55;26.550,00
—;TOTAL PROGRAMA 912P – Asesoramiento del Gobierno;Consejo Económico y Social;9.220,85;9.220.850,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
