Orgánica;Económica;Explicación;Órgano Gestor;Importe (miles €);Importe Total (€)
19.01;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;Ministerio y Subsecretaría;7.383,13;7.383.130,00
19.01;435;Al Consejo Económico y Social para el cumplimiento de sus fines;Ministerio y Subsecretaría;7.383,13;7.383.130,00
19.01;73;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo (capital);Ministerio y Subsecretaría;41,94;41.940,00
19.01;735;Al Consejo Económico y Social;Ministerio y Subsecretaría;41,94;41.940,00
—;—;TOTAL MINISTERIO Y SUBSECRETARÍA;—;7.425,07;7.425.070,00
19.03;41;A Organismos Autónomos;Secretaría de Estado de Trabajo;308.258,25;308.258.250,00
19.03;413–418;Al SEPE, INSST, O.E. Inspección de Trabajo;Secretaría de Estado de Trabajo;—;Incluido en 41
19.03;42;A la Seguridad Social;Secretaría de Estado de Trabajo;6.000,00;6.000.000,00
19.03;42200–42201;Ayudas previas a la jubilación ordinaria y adaptación sector estiba;Secretaría de Estado de Trabajo;—;Incluido en 42
19.03;71;A Organismos Autónomos (capital);Secretaría de Estado de Trabajo;5.292,09;5.292.090,00
—;—;TOTAL SECRETARÍA DE ESTADO DE TRABAJO;—;319.550,34;319.550.340,00
19.101;40;A la Administración del Estado;SEPE;144.717,24;144.717.240,00
19.101;409;A Comunidades Autónomas en políticas activas de empleo;SEPE;132.530,94;132.530.940,00
19.101;41;A Organismos Autónomos;SEPE;89.656,95;89.656.950,00
19.101;43;A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;SEPE;2.697,29;2.697.290,00
19.101;42;A la Seguridad Social;SEPE;132,5;132.500,00
—;—;TOTAL SERVICIO PÚBLICO DE EMPLEO ESTATAL;—;237.203,98;237.203.980,00
19.102;40;A la Administración del Estado;Fondo de Garantía Salarial;53,23;53.230,00
—;—;TOTAL FONDO DE GARANTÍA SALARIAL;—;53,23;53.230,00
—;—;TOTAL PROGRAMA 000X – Transferencias y libramientos internos;—;564.232,62;564.232.620,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
