;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;
;Programa: 494M Administración de las relaciones laborales y condiciones de trabajo;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;19.03;19.104;Total;
1;GASTOS DE PERSONAL;3.250,75;19.291,57;22.542,32;
10; Altos cargos;61,02;;61,02;
12; Funcionarios;2.909,73;13.341,54;16.251,27;
13; Laborales;;1.019,38;1.019,38;
15; Incentivos al rendimiento;;1.555,94;1.555,94;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;280,00;3.374,71;3.654,71;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;20.140,91;20.140,91;
20; Arrendamientos y cánones;;34,00;34,00;
21; Reparaciones, mantenimiento y conservación;;1.555,00;1.555,00;
22; Material, suministros y otros;;18.298,91;18.298,91;
23; Indemnizaciones por razón del servicio;;153,00;153,00;
24; Gastos de publicaciones;;100,00;100,00;
3;GASTOS FINANCIEROS;;0,46;0,46;
35; Intereses de demora y otros gastos financieros;;0,46;0,46;
4;TRANSFERENCIAS CORRIENTES;9.725,10;26.628,01;36.353,11;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;1.186,50;26.000,00;27.186,50;
48; A familias e instituciones sin fines de lucro;8.388,60;532,91;8.921,51;
49; Al exterior;150,00;95,10;245,10;
6;INVERSIONES REALES;;1.355,00;1.355,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;562,36;562,36;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;792,64;792,64;
7;TRANSFERENCIAS DE CAPITAL;90,00;;90,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;90,00;;90,00;
8;ACTIVOS FINANCIEROS;;86,71;86,71;
83; Concesión de préstamos fuera del Sector Público;;86,71;86,71;
;TOTAL;13.065,85;67.502,66;80.568,51;
;;



