Económica;Explicación;20.09;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;1.150,88;1.150,88;1.150.880,00 €
12;Funcionarios;896,9;896,9;896.900,00 €
13;Laborales;106,86;106,86;106.860,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;147,12;147,12;147.120,00 €
7;TRANSFERENCIAS DE CAPITAL;2.625,00;2.625,00;2.625.000,00 €
78;A familias e instituciones sin fines de lucro;2.625,00;2.625,00;2.625.000,00 €
—;TOTAL PROGRAMA 421O – Calidad y seguridad industrial;—;3.775,88;3.775.880,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
