Económica;Explicación;20.04;20.104;Total (miles €);Total (€)
1;GASTOS DE PERSONAL;2.859,34;23.212,13;26.071,47;26.071.470,00 €
10;Altos cargos;80,3;61,04;141,34;141.340,00 €
11;Personal eventual;255,34;—;255,34;255.340,00 €
12;Funcionarios;2.216,27;12.830,68;15.046,95;15.046.950,00 €
13;Laborales;26,65;7.249,56;7.276,21;7.276.210,00 €
15;Incentivos al rendimiento;—;457,68;457,68;457.680,00 €
16;Cuotas, prestaciones y gastos sociales;280,78;2.613,17;2.893,95;2.893.950,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;343,31;12.290,94;12.634,25;12.634.250,00 €
20;Arrendamientos y cánones;—;4.736,04;4.736,04;4.736.040,00 €
21;Reparaciones, mantenimiento y conservación;—;1.315;1.314,76;1.314.760,00 €
22;Material, suministros y otros;245,31;4.988,55;5.233,86;5.233.860,00 €
23;Indemnizaciones por razón del servicio;98;1.251,59;1.349,59;1.349.590,00 €
3;GASTOS FINANCIEROS;110;127;237;237.000,00 €
35;Intereses de demora y otros gastos financieros;110,00;127,00;237,00;237.000,00 €
4;TRANSFERENCIAS CORRIENTES;9.330,00;1.251,34;10.581,34;10.581.340,00 €
44;A entidades del Sector Público Estatal;9.000,00;—;9.000,00;9.000.000,00 €
46;A Entidades Locales;80;—;80,00;80.000,00 €
48;A familias e instituciones sin fines de lucro;100;1.106,34;1.206,34;1.206.340,00 €
49;Al exterior;150;145,00;295,00;295.000,00 €
6;INVERSIONES REALES;1.306,70;66.200,98;67.507,68;67.507.680,00 €
60;Inversión nueva en infraestructuras;—;16.500,00;16.500,00;16.500.000,00 €
61;Inversión de reposición en infraestructuras;—;12.056,98;12.056,98;12.056.980,00 €
62;Inversión nueva operativa;—;439,5;439,5;439.500,00 €
63;Inversión de reposición operativa;—;100;100;100.000,00 €
64;Inversiones inmateriales;1.306,70;37.104,50;38.411,20;38.411.200,00 €
7;TRANSFERENCIAS DE CAPITAL;24.920,00;—;24.920,00;24.920.000,00 €
76;A Entidades Locales;23.145,00;—;23.145,00;23.145.000,00 €
78;A familias e instituciones sin fines de lucro;1.775,00;—;1.775,00;1.775.000,00 €
8;ACTIVOS FINANCIEROS;127.990,79;134,36;128.125,15;128.125.150,00 €
83;Préstamos fuera del Sector Público;127.985,42;36,96;128.022,38;128.022.380,00 €
84;Depósitos y fianzas;—;97,40;97,40;97.400,00 €
87;Aportaciones patrimoniales;5,37;—;5,37;5.370,00 €
—;TOTAL PROGRAMA 432A – Coordinación y promoción del turismo;166.860,14;103.216,75;270.076,89;270.076.890,00 €
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
