Económica;Explicación;20.04;20.09;Total (miles  euros);Total (euros)
4;TRANSFERENCIAS CORRIENTES;600;—;600;600.000,00
44;A entidades del Sector Público Estatal;600;—;600;600.000,00
440;A SEGITTUR;600;—;600;600.000,00
7;TRANSFERENCIAS DE CAPITAL;6.240,00;—;6.240,00;6.240.000,00
74;A entidades del Sector Público Estatal;6.240,00;—;6.240,00;6.240.000,00
741;A SEGITTUR;6.240,00;—;6.240,00;6.240.000,00
8;ACTIVOS FINANCIEROS;—;272.000,00;272.000,00;272.000.000,00
83;Préstamos fuera del Sector Público;—;272.000,00;272.000,00;272.000.000,00
834;Préstamos generales;—;129.000,00;129.000,00;129.000.000,00
838;A Hisdesat (satélites de uso gubernamental);—;143.000,00;143.000,00;143.000.000,00
—;TOTAL PROGRAMA 467C – Investigación y desarrollo tecnológico-industrial;6.840,00;272.000,00;278.840,00;278.840.000,00
