Orgánica;Económica;Explicación;Total (miles  euros);Total (euros)
20.03;41;A Organismos Autónomos;4.704,22;4.704.220,00
20.03;416;Al Centro Español de Metrología;4.704,22;4.704.220,00
20.03;71;A Organismos Autónomos (Transferencias de capital);2.441,36;2.441.360,00
20.03;716;Al Centro Español de Metrología (Transferencias de capital);2.441,36;2.441.360,00
20.04;41;A Organismos Autónomos;33.640,22;33.640.220,00
20.04;411;Al Instituto de Turismo de España;33.640,22;33.640.220,00
20.04;71;A Organismos Autónomos (Transferencias de capital);41.878,31;41.878.310,00
20.04;713;Al Instituto de Turismo de España (Transferencias de capital);41.878,31;41.878.310,00
—;—;Total Secretaría de Estado de Industria (20.03);7.145,58;7.145.580,00
—;—;Total Secretaría de Estado de Turismo (20.04);75.518,53;75.518.530,00
—;—;TOTAL PROGRAMA 000X – Transferencias y libramientos internos;82.664,11;82.664.110,00
