;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 421N Regulación y protección de la Propiedad Industrial;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;20.102;;Total;
1;GASTOS DE PERSONAL;23.690,00;;23.690,00;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;17.058,91;;17.058,91;
13; Laborales;587,16;;587,16;
15; Incentivos al rendimiento;1.865,24;;1.865,24;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;4.117,65;;4.117,65;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;11.111,74;;11.111,74;
20; Arrendamientos y cánones;2,00;;2,00;
21; Reparaciones, mantenimiento y conservación;4.765,00;;4.765,00;
22; Material, suministros y otros;5.959,74;;5.959,74;
23; Indemnizaciones por razón del servicio;345,00;;345,00;
24; Gastos de publicaciones;40,00;;40,00;
3;GASTOS FINANCIEROS;27,36;;27,36;
35; Intereses de demora y otros gastos financieros;27,36;;27,36;
4;TRANSFERENCIAS CORRIENTES;8.576,89;;8.576,89;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;227,55;;227,55;
47; A empresas privadas;7.467,33;;7.467,33;
48; A familias e instituciones sin fines de lucro;644,51;;644,51;
49; Al exterior;237,50;;237,50;
6;INVERSIONES REALES;9.945,00;;9.945,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;1.965,00;;1.965,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;3.250,00;;3.250,00;
64; Gastos de inversiones de carácter inmaterial;4.730,00;;4.730,00;
8;ACTIVOS FINANCIEROS;73,75;;73,75;
83; Concesión de préstamos fuera del Sector Público;73,75;;73,75;
;TOTAL;53.424,74;;53.424,74;
;;



