;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 43NA C14.I01 Transformación del modelo turístico hacia la sostenibilidad.;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;20.50;;Total;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;330,00;;330,00;
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;330,00;;330,00;
6;INVERSIONES REALES;8.000,00;;8.000,00;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;8.000,00;;8.000,00;
7;TRANSFERENCIAS DE CAPITAL;488.670,00;;488.670,00;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;10.670,00;;10.670,00;
75; A Comunidades Autónomas;478.000,00;;478.000,00;
;TOTAL;497.000,00;;497.000,00;
;;



