;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 43NC C14.I03 Estrategias de resiliencia turística para territorios extrapeninsulares.;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;20.50;;Total;
7;TRANSFERENCIAS DE CAPITAL;64.000,00;;64.000,00;
75; A Comunidades Autónomas;64.000,00;;64.000,00;
;TOTAL;64.000,00;;64.000,00;
;;



