;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;Programa: 000X Transferencias y libramientos internos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
20.03;;SECRETARÍA DE ESTADO DE INDUSTRIA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;41;A Organismos Autónomos;;4.704,22;
;416;Al Centro Español de Metrología;;4.704,22;
;;TOTAL TRANSFERENCIAS CORRIENTES;;4.704,22;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;71;A Organismos Autónomos;;2.441,36;
;716;Al Centro Español de Metrología;;2.441,36;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;2.441,36;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE INDUSTRIA;;7.145,58;
 ; ;;;;
 ; ;;;;
20.04;;SECRETARÍA DE ESTADO DE TURISMO;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;41;A Organismos Autónomos;;33.640,22;
;411;Al Instituto de Turismo de España;;33.640,22;
;;TOTAL TRANSFERENCIAS CORRIENTES;;33.640,22;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;71;A Organismos Autónomos;;41.878,31;
;713;Al Instituto de Turismo de España;;41.878,31;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;41.878,31;
 ; ;;;;
;;TOTAL SECRETARÍA DE ESTADO DE TURISMO;;75.518,53;
 ; ;;;;
 ; ;;;;
20.50;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
;714;Al Instituto de Turismo de España (TURESPAÑA). Mecanismo de Recuperación y Resiliencia;;11.000,00;
;717;Al Centro Español de Metrología. Mecanismo de Recuperación y Resiliencia;;7.410,00;
;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;18.410,00;
 ; ;;;;
 ; ;;;;
20.102;;OFICINA ESPAÑOLA DE PATENTES Y MARCAS;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;40;A la Administración del Estado;;816,28;
;402;Al Estado, para compensar gastos de gestión centralizada;;816,28;
;;TOTAL TRANSFERENCIAS CORRIENTES;;816,28;
 ; ;;;;
;;TOTAL OFICINA ESPAÑOLA DE PATENTES Y MARCAS;;816,28;
 ; ;;;;
 ; ;;;;
20.104;;INSTITUTO DE TURISMO DE ESPAÑA;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;40;A la Administración del Estado;;100,00;
;403;Contribución al sostenimiento de los gastos derivados de la integración de las Consejerías de Turismo en las Representaciones de España en el Exterior;;100,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;100,00;
 ; ;;;;
;;TOTAL INSTITUTO DE TURISMO DE ESPAÑA;;100,00;
 ; ;;;;
 ; ;;;;
;;TOTAL Transferencias y libramientos internos;;101.990,39;
;;



