Económica;Explicación;Orgánica (21.06);Total (miles €);Total (€)
1;GASTOS DE PERSONAL;21.06;6.087,23;6.087.230,00 €
10;Altos cargos;21.06;61,02;61.020,00 €
12;Funcionarios;21.06;5.053,66;5.053.660,00 €
13;Laborales;21.06;179,46;179.460,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;21.06;793,09;793.090,00 €
4;TRANSFERENCIAS CORRIENTES;21.06;140;140.000,00 €
48;A familias e instituciones sin fines de lucro;21.06;140;140.000,00 €
6;INVERSIONES REALES;21.06;18.881,80;18.881.800,00 €
62;Inversión nueva asociada al funcionamiento operativo de los servicios;21.06;525;525.000,00 €
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;21.06;125;125.000,00 €
64;Gastos de inversiones de carácter inmaterial;21.06;18.231,80;18.231.800,00
7;TRANSFERENCIAS DE CAPITAL;21.06;21.581,47;21.581.470,00 €
75;A Comunidades Autónomas;21.06;21.581,47;21.581.470,00
—;TOTAL PROGRAMA 412D – Competitividad y calidad de la sanidad agraria;21.06;46.690,50;46.690.500,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
