Orgánica;Económica;Explicación;Total (miles €);Total (€)
21.07;10;Altos cargos;61,02;61.020,00 €
21.07;12;Funcionarios;5.551,26;5.551.260,00 €
21.07;13;Laborales;34,05;34.050,00 €
21.07;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;831,68;831.680,00 €
;;TOTAL GASTOS DE PERSONAL;6.478,01;6.478.010,00 €
21.07;47;A empresas privadas;180;180.000,00 €
21.07;472;Fundación Dieta Mediterránea – promoción de la dieta mediterránea;80;80.000,00 €
21.07;473;Subvención “Premios Alimentos de España”;100;100.000,00 €
21.07;48;A familias e instituciones sin fines de lucro;250;250.000,00 €
21.07;480;Becas de formación;250;250.000,00 €
;;TOTAL TRANSFERENCIAS CORRIENTES;430;430.000,00 €
21.07;6;Inversiones reales;24.663,51;24.663.510,00 €
21.07;75;A Comunidades Autónomas;200;200.000,00
21.07;751;Subvención al Gobierno Vasco – Fundación Basque Culinary Center;200;200.000,00 €
21.07;77;A empresas privadas;600;600.000,00 €
21.07;771;Fomento del cooperativismo agrario;600;600.000,00 €
21.07;78;A familias e instituciones sin fines de lucro;2.015,73;2.015.730,00
21.07;785;Convenios con entidades sin ánimo de lucro;2.015,73;2.015.730,00 €
21.07;78500;Convenio con FIAB – innovación y fortalecimiento del sector agroalimentario;754,48;754.480,00 €
21.07;78501;Convenio con Cooperativas Agroalimentarias de España;1.261,25;1.261.250,00 €
;;TOTAL TRANSFERENCIAS DE CAPITAL;2.815,73;2.815.730,00 €
—;—;TOTAL PROGRAMA 413A – Competitividad industria agroalimentaria y calidad alimentaria;34.387,25;34.387.250,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
