Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
21.11;1;GASTOS DE PERSONAL;5.142,09;5.142.090,00
21.11;10;Altos cargos;61,02;61.020,00
21.11;12;Funcionarios;4.212,99;4.212.990,00
21.11;13;Laborales;37,58;37.580,00
21.11;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;830,5;830.500,00
21.11;4;TRANSFERENCIAS CORRIENTES;998,24;998.240,00
21.11;44;A entidades del Sector Público Estatal (Fundación Biodiversidad – OESA);300;300.000,00
21.11;48;A familias e instituciones sin fines de lucro;698,24;698.240,00
21.11;483;Asociacionismo pesquero;550;550.000,00
21.11;484;Ayudas a la acuicultura;20;20.000,00
21.11;487;Becas en ordenación pesquera;100;100.000,00
21.11;488;Becas en comercialización pesquera;28,24;28.240,00
21.11;6;INVERSIONES REALES;22.579,00;22.579.000,00
21.11;7;TRANSFERENCIAS DE CAPITAL;33.624,83;33.624.830,00
21.11;74;A entidades del Sector Público Estatal (Planes Nacionales de cultivos);514;514.000,00
21.11;75;A Comunidades Autónomas (Programa Operativo FEMP);13.100,00;13.100.000,00
21.11;77;A empresas privadas;20.010,83;20.010.830,00
21.11;772;Desarrollo nueva OCM, productos pesqueros;18.635,83;18.635.830,00
21.11;774;Programas operativos UE;375;375.000,00
21.11;777;Compensación efectos Covid-19;1.000,00;1.000.000,00
21.11;—;TOTAL PROGRAMA 415B – Mejora de estructuras y mercados pesqueros;62.344,16;62.344.160,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
 ; ;;;
