Económica;Explicación;Orgánica;Total (miles €);Total (€)
1;Gastos de Personal;21.11;5.142,09;5.142.090,00 €
10;Altos cargos;21.11;61,02;61.020,00 €
12;Funcionarios;21.11;4.212,99;4.212.990,00 €
13;Laborales;21.11;37,58;37.580,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;21.11;830,5;830.500,00 €
4;Transferencias Corrientes;21.11;998,24;998.240,00 €
44;A entidades del Sector Público Estatal;21.11;300;300.000,00 €
48;A familias e instituciones sin fines de lucro;21.11;698,24;698.240,00 €
6;Inversiones Reales;21.11;22.579,00;22.579.000,00 €
62;Inversión nueva operativa;21.11;5;5.000,00 €
63;Reposición operativa;21.11;150;150.000,00
64;Inversiones inmateriales;21.11;22.424,00;22.424.000,00 €
7;Transferencias de Capital;21.11;33.624,83;33.624.830,00
74;A entidades del Sector Público Estatal;21.11;514;514.000,00 €
75;A Comunidades Autónomas;21.11;13.100,00;13.100.000,00 €
77;A empresas privadas;21.11;20.010,83;20.010.830,00 €
—;TOTAL PROGRAMA 415B;21.11;62.344,16;62.344.160,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
