;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;
;Programa: 412C Competitividad y calidad de la producción y los mercados agrarios;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
21.05;;DIRECCIÓN GENERAL DE PRODUCCIONES Y MERCADOS AGRARIOS;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,02;
;12;Funcionarios;;4.546,44;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;409,50;
;16000; Seguridad Social;409,50;;
;;TOTAL GASTOS DE PERSONAL;;5.016,96;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;500,00;
;442;A la Sociedad Mercantil Estatal: EXPASA AGRICULTURA Y GANADERIA, S.A.;;500,00;
;47;A empresas privadas;;445,60;
;470;Asociación de Sociedades Organizadoras de Carreras de Caballos, para apoyar la cría de caballos y yeguas nacidos en España con el fin de impulsar el sector equino nacional;;400,00;
;471;Normalización de la maquinaria agrícola;;45,60;
;48;A familias e instituciones sin fines de lucro;;150,00;
;480;Programa técnico formativo en producciones y mercados agrarios;;150,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;1.095,60;
 ; ;;;;
;6;INVERSIONES REALES;;7.454,71;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;75;A Comunidades Autónomas;;30.302,00;
;750;Fomento de la innovación tecnológica;;4.652,00;
;755;Mejora de la organización de la producción y reordenación de los sectores productivos;;4.650,00;
;756;Apoyo a la producción agrícola en el marco del Programa de Opciones Específicas por la Lejanía y la Insularidad (POSEI);;21.000,00;
;77;A empresas privadas;;9.550,00;
;771;Fomento de la modernización de maquinaria y tecnología agrícola;;9.550,00;
;78;A familias e instituciones sin fines de lucro;;5.035,00;
;781;Impulso a la sostenibilidad y competitividad de la biodiversidad ganadera;;5.035,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;44.887,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE PRODUCCIONES Y MERCADOS AGRARIOS;;58.454,27;
 ; ;;;;
 ; ;;;;
;;TOTAL Competitividad y calidad de la producción y los mercados agrarios;;58.454,27;
;;



