;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;
;Programa: 413A Competitividad industria agroalimentaria y calidad alimentaria;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
21.07;;DIRECCIÓN GENERAL DE ALIMENTACIÓN;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,02;
;12;Funcionarios;;5.551,26;
;13;Laborales;;34,05;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;831,68;
;16000; Seguridad Social;831,68;;
;;TOTAL GASTOS DE PERSONAL;;6.478,01;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;47;A empresas privadas;;180,00;
;472;Convenio de colaboración con la Fundación Dieta Mediterránea, para promocionar las características de la "dieta mediterránea" y los productos que la componen;;80,00;
;473;Subvención para "Premios Alimentos de España";;100,00;
;48;A familias e instituciones sin fines de lucro;;250,00;
;480;Becas de formación;;250,00;
;;TOTAL TRANSFERENCIAS CORRIENTES;;430,00;
 ; ;;;;
;6;INVERSIONES REALES;;24.663,51;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;75;A Comunidades Autónomas;;200,00;
;751;Subvención nominativa al Gobierno Vasco para apoyo a la Fundación Basque Culinary Center;;200,00;
;77;A empresas privadas;;600,00;
;771;Fomento del cooperativismo agrario para la estructuración de la oferta;;600,00;
;78;A familias e instituciones sin fines de lucro;;2.015,73;
;785;Convenios de colaboración con Entidades sin ánimo de lucro.;;2.015,73;
;78500; Convenio de colaboración con la Federación Española de Industrias de la Alimentación y Bebidas (FIAB), para la ejecución de actuaciones de fomento, innovación y fortalecimiento del sector industrial agroalimentario;754,48;;
;78501; Convenio Marco de colaboración con Cooperativas Agroalimentarias de España;1.261,25;;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;2.815,73;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE ALIMENTACIÓN;;34.387,25;
 ; ;;;;
 ; ;;;;
;;TOTAL Competitividad industria agroalimentaria y calidad alimentaria;;34.387,25;
;;



