;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;
;Programa: 415A Protección de los recursos pesqueros y desarrollo sostenible;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
21.10;;DIRECCIÓN GENERAL DE PESCA SOSTENIBLE;;;
;1;GASTOS DE PERSONAL;;;
;10;Altos cargos;;61,02;
;12;Funcionarios;;2.002,09;
;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;249,97;
;16000; Seguridad Social;249,97;;
;;TOTAL GASTOS DE PERSONAL;;2.313,08;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;48;A familias e instituciones sin fines de lucro;;119,56;
;485;Becas de formación técnica y práctica en el área de pesca marítima;;119,56;
;;TOTAL TRANSFERENCIAS CORRIENTES;;119,56;
 ; ;;;;
;6;INVERSIONES REALES;;21.638,00;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;78;A familias e instituciones sin fines de lucro;;300,00;
;781;Fundación AZTI. Desarrollo de actividades de investigación en áreas relacionadas con la alimentación, la pesca y la oceanografía;;300,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;300,00;
 ; ;;;;
;;TOTAL DIRECCIÓN GENERAL DE PESCA SOSTENIBLE;;24.370,64;
 ; ;;;;
 ; ;;;;
;;TOTAL Protección de los recursos pesqueros y desarrollo sostenible;;24.370,64;
;;



