;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;
;Programa: 415B Mejora de estructuras y mercados pesqueros;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;21.11;;Total;
1;GASTOS DE PERSONAL;5.142,09;;5.142,09;
10; Altos cargos;61,02;;61,02;
12; Funcionarios;4.212,99;;4.212,99;
13; Laborales;37,58;;37,58;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;830,50;;830,50;
4;TRANSFERENCIAS CORRIENTES;998,24;;998,24;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;300,00;;300,00;
48; A familias e instituciones sin fines de lucro;698,24;;698,24;
6;INVERSIONES REALES;22.579,00;;22.579,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;5,00;;5,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;150,00;;150,00;
64; Gastos de inversiones de carácter inmaterial;22.424,00;;22.424,00;
7;TRANSFERENCIAS DE CAPITAL;33.624,83;;33.624,83;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;514,00;;514,00;
75; A Comunidades Autónomas;13.100,00;;13.100,00;
77; A empresas privadas;20.010,83;;20.010,83;
;TOTAL;62.344,16;;62.344,16;
;;



